canonicity_score_rank;canonicity_score_scaled;GND;GND_name;GND_birth;GND_death;GND_occupation;rausschmeißen? (AH);rausschmeißen? (MK);Konsens (JE);;;;;;;;;;;;;;;
48;117;118607987;Schlegel, Friedrich von;1772.0;1829.0;Schriftsteller + Philosoph + Philologe + Kritiker + Literarhistoriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
49;116;118547445;Hebbel, Friedrich;1813.0;1863.0;Schriftsteller + Dramatiker + Lyriker + Librettist + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
50;116;118587080;Nestroy, Johann;1801.0;1862.0;Schauspieler + Dramatiker + Theaterdirektor + Opernsänger + Schriftsteller + Dramatiker + Librettist + Komponist + Theaterdirektor + Regisseur + Schauspieler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
51;115;118527533;Droste-Hülshoff, Annette von;1797.0;1848.0;Schriftstellerin + Komponistin + Zeichnerin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
52;114;118563386;Klopstock, Friedrich Gottlieb;1724.0;1803.0;Schriftsteller + Dramatiker + Lyriker + Literaturwissenschaftler + Privatlehrer + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
53;114;118597442;Raabe, Wilhelm;1831.0;1910.0;Schriftsteller + Erzähler + Maler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
54;113;118541013;Gottsched, Johann Christoph;1700.0;1766.0;Schriftsteller + Philologe + Philosoph + Literaturwissenschaftler + Theaterkritiker + Dramatiker + Übersetzer + Hochschullehrer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
55;112;118629867;Wedekind, Frank;1864.0;1918.0;Dramatiker + Schauspieler + Schriftsteller + Liederdichter + Komponist + Journalist + Schauspieler + Dramatiker + Dramaturg;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
56;112;118512676;Böll, Heinrich;1917.0;1985.0;Schriftsteller + Übersetzer + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
57;112;118637479;Zweig, Stefan;1881.0;1942.0;Schriftsteller + Journalist + Pazifist + Übersetzer + Sammler + Musiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
58;111;118590111;Opitz, Martin;1597.0;1639.0;Schriftsteller + Gelehrter + Diplomat + Übersetzer + Librettist + Lehrer + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
59;108;118571656;Lenz, Jakob Michael Reinhold;1751.0;1792.0;Schriftsteller + Dramatiker + Lyriker + Lehrer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
60;107;118583107;Mörike, Eduard;1804.0;1875.0;Schriftsteller + Liederdichter + Lyriker + Prosaist + Lehrer + Zeichner + Pfarrer + Übersetzer + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
61;104;118608703;Schmidt, Arno;1914.0;1979.0;Schriftsteller + Übersetzer + Essayist + Librettist + Kaufmann + Buchhalter;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
62;103;11855042X;Hesse, Hermann;1877.0;1962.0;Schriftsteller + Buchhändler + Maler + Pazifist + Librettist + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
63;101;118527908;Dürrenmatt, Friedrich;1921.0;1990.0;Schriftsteller + Dramatiker + Grafiker + Maler + Theaterkritiker + Librettist + Regisseur + Schriftsteller + Dramaturg;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
64;101;118584944;Müller, Heiner;1929.0;1995.0;Schriftsteller + Dramatiker + Theaterregisseur + Drehbuchautor + Librettist + Theaterdirektor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
65;100;118630539;Weiss, Peter;1916.0;1982.0;Schriftsteller + Musiker + Filmarchitekt + Dramatiker + Dramatiker + Maler + Grafiker + Continuity <Filmschaffender> + Librettist + Regisseur + Drehbuchautor + Filmproduzent;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
66;99;118558587;Jünger, Ernst;1895.0;1998.0;Schriftsteller + Offizier + Philosoph + Entomologe;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
67;98;118517880;Busch, Wilhelm;1832.0;1908.0;Schriftsteller + Karikaturist + Künstler + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
68;95;118566288;Kraus, Karl;1874.0;1936.0;Schriftsteller + Übersetzer + Journalist + Schauspieler + Schriftsteller + Redakteur + Rechtswissenschaft + Herausgeber + Kritiker + Publizist + Satiriker + Pazifist + Lyriker + Dramatiker + Essayist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
69;94;118536109;Frisch, Max;1911.0;1991.0;Schriftsteller + Journalist + Architekt + Sprecher + Drehbuchautor + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
70;92;11853856X;George, Stefan;1868.0;1933.0;Schriftsteller + Übersetzer + Herausgeber + Verleger + Buchgestalter + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
71;91;118553739;Horváth, Ödön von;1901.0;1938.0;Schriftsteller + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
72;90;118504177;Arnim, Achim von;1781.0;1831.0;Schriftsteller + Liederdichter + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
73;89;118603426;Rousseau, Jean-Jacques;1712.0;1778.0;Philosoph + Schriftsteller + Dramatiker + Pädagoge + Botaniker + Musikwissenschaftler + Komponist;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
74;86;11855817X;Johnson, Uwe;1934.0;1984.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
75;85;118569880;Lasker-Schüler, Else;1869.0;1945.0;Schriftstellerin + Lyrikerin + Künstlerin + Librettistin + Dramatikerin + Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
76;83;118818651;May, Karl;1842.0;1912.0;Schriftsteller + Komponist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
77;82;118628860;Walser, Robert;1878.0;1956.0;Schriftsteller + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
78;81;118628852;Walser, Martin;1927.0;2023.0;Schriftsteller + Dramatiker + Drehbuchautor + Regisseur + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
79;80;118581775;Meyer, Conrad Ferdinand;1825.0;1898.0;Schriftsteller + Lyriker + Übersetzer + Zeichner + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
80;79;118559206;Kästner, Erich;1899.0;1974.0;Schriftsteller + Kinderbuchautor + Publizist + Lyriker + Dramatiker + Kabarettist + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
81;78;118532715;Feuchtwanger, Lion;1884.0;1958.0;Schriftsteller + Literaturkritiker + Theaterkritiker + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
82;78;119310007;Sebald, W. G.;1944.0;2001.0;Schriftsteller + Philologe + Literaturwissenschaftler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
83;77;118542257;Grimm, Jacob;1785.0;1863.0;Philologe + Literaturwissenschaftler + Historiker + Schriftsteller + Hochschullehrer + Jurist + Bibliothekar + Freiherr;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;
84;76;118574078;Lohenstein, Daniel Casper von;1635.0;1683.0;Schriftsteller + Jurist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
85;74;119053071;Müller, Herta;1953.0;;Schriftstellerin + Künstlerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
86;72;118502786;Andersch, Alfred;1914.0;1980.0;Schriftsteller + Publizist + Lyriker + Rundfunkredakteur + Übersetzer + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
87;72;118554727;Humboldt, Wilhelm von;1767.0;1835.0;Wissenschaftler + Politiker + Linguist + Diplomat + Journalist + Philosoph + Schriftsteller + Freiherr;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
88;70;118518801;Canetti, Elias;1905.0;1944.0;Schriftsteller + Philosoph + Psychologe + Chemiker + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
89;69;118533886;Fleißer, Marieluise;1901.0;1974.0;Schriftstellerin + Dramatikerin + Dramatikerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
90;68;118556894;Jandl, Ernst;1925.0;2000.0;Lyriker + Schriftsteller + Dramatiker + Grafiker + Musiker + Übersetzer + Librettist + Gymnasiallehrer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
91;68;118619047;Strauß, Botho;1944.0;;Schriftsteller + Theaterkritiker + Redakteur + Dramaturg + Drehbuchautor + Schriftsteller + Dramatiker + Dramaturg;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
92;68;118623575;Trakl, Georg;1887.0;1914.0;Schriftsteller + Lyriker + Apotheker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
93;68;11862220X;Thomasius, Christian;1655.0;1728.0;Jurist + Philosoph + Hochschullehrer + Schriftsteller + Selbstverleger;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
94;68;118542265;Grimm, Wilhelm;1786.0;1859.0;Philologe + Germanist + Schriftsteller + Jurist + Bibliothekar + Literaturwissenschaftler;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;
95;68;118623230;Toller, Ernst;1893.0;1939.0;Schriftsteller + Sozialist + Politiker + Drehbuchautor + Autorenlesung + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
96;67;118530534;Enzensberger, Hans Magnus;1929.0;2022.0;Schriftsteller + Lyriker + Rundfunkredakteur + Biograf + Lektor <Verlag> + Übersetzer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
97;67;118507931;Becher, Johannes Robert;1891.0;1958.0;Schriftsteller + Lyriker + Lektor <Verlag> + Politiker + Dramaturg + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
98;67;118569767;La Roche, Sophie von;1730.0;1807.0;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
99;67;118538322;Gellert, Christian Fürchtegott;1715.0;1769.0;Schriftsteller + Philosoph + Hochschullehrer + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
100;67;118564471;Koeppen, Wolfgang;1906.0;1996.0;Schriftsteller + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
101;66;118577158;Mann, Klaus;1906.0;1949.0;Schriftsteller + Journalist + Theaterkritiker + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
102;66;118732404;Mayröcker, Friederike;1924.0;2021.0;Schriftstellerin + Lehrerin + Lyrikerin + Illustratorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
103;64;118515551;Broch, Hermann;1886.0;1951.0;Philosoph + Journalist + Schriftsteller + Textilingenieur + Kulturphilosoph + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
104;64;118607057;Schelling, Friedrich Wilhelm Joseph von;1775.0;1854.0;Philosoph + Schriftsteller + Librettist;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
105;63;11862444X;Tucholsky, Kurt;1890.0;1935.0;Schriftsteller + Journalist + Publizist + Satiriker + Kritiker + Jurist + Dramatiker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
106;61;118631373;Werfel, Franz;1890.0;1945.0;Schriftsteller + Librettist + Sprecher + Übersetzer + Musiker + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
107;61;118839276;Timm, Uwe;1940.0;;Schriftsteller + Lyriker + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
108;61;118553216;Holz, Arno;1863.0;1929.0;Schriftsteller + Lyriker + Dramatiker + Journalist + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
109;59;118528661;Ebner-Eschenbach, Marie von;1830.0;1916.0;Schriftstellerin + Dramatikerin + Freifrau;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
110;59;118514644;Braun, Volker;1939.0;;Schriftsteller + Philosoph + Dramatiker + Librettist + Schauspieler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
111;59;118540963;Gotthelf, Jeremias;1797.0;1854.0;Schriftsteller + Pfarrer + Schulinspektor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
112;59;120013428;Kracht, Christian;1966.0;;Schriftsteller + Journalist + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
113;59;118571680;Lenz, Siegfried;1926.0;2014.0;Schriftsteller + Redakteur + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
114;58;118599631;Remarque, Erich Maria;1898.0;1970.0;Schriftsteller + Pazifist + Lehrer + Redakteur;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
115;57;118546864;Hauff, Wilhelm;1802.0;1827.0;Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
116;57;118513451;Borchert, Wolfgang;1921.0;1947.0;Dramatiker + Lyriker + Schriftsteller + Schauspieler + Buchhändler + Kabarettist + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
117;56;118529374;Eich, Günter;1907.0;1972.0;Schriftsteller + Lyriker + Librettist + Dramatiker + Übersetzer + Schriftsteller + Rechtswissenschaft;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
118;56;118526162;Doderer, Heimito von;1896.0;1966.0;Schriftsteller + Historiker + Journalist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
119;55;118532847;Fichte, Johann Gottlieb;1762.0;1814.0;Philosoph + Hochschullehrer + Rektor + Publizist + Schriftsteller;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
120;55;118541102;Grabbe, Christian Dietrich;1801.0;1836.0;Dramaturg + Dramatiker + Jurist + Beamter + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
121;55;118543830;Gutzkow, Karl;1811.0;1878.0;Schriftsteller + Dramaturg + Dramatiker + Publizist + Journalist + Philologe + Dramaturg + Erzähler + Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
122;55;118535455;Freytag, Gustav;1816.0;1895.0;Schriftsteller + Historiker + Historiker + Publizist + Politiker + Abgeordneter + Journalist + Lyriker + Dozent + Philologe;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
123;55;117208612;Weerth, Georg;1822.0;1856.0;Schriftsteller + Kaufmann + Satiriker + Journalist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
124;55;118520040;Chamisso, Adelbert von;1781.0;1838.0;Schriftsteller + Naturwissenschaftler + Schriftsteller + Offizier + Botaniker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
125;55;118504185;Arnim, Bettina von;1785.0;1859.0;Schriftstellerin + Komponistin + Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
126;54;118696734;Gottsched, Luise Adelgunde Victorie;1713.0;1762.0;Schriftstellerin + Dramatikerin + Übersetzerin + Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
127;54;118722123;Keun, Irmgard;1905.0;1982.0;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
128;53;118554700;Humboldt, Alexander von;1769.0;1859.0;Geograf + Naturwissenschaftler + Forschungsreisender + Gelehrter + Arzt + Schriftsteller + Geheimer Rat;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
129;52;118515586;Brockes, Barthold Heinrich;1680.0;1747.0;Schriftsteller + Senator + Jurist + Komponist + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
130;52;118545140;Haller, Albrecht von;1708.0;1777.0;Arzt + Botaniker + Mathematiker + Hochschullehrer + Physiologe + Schriftsteller + Naturwissenschaftler + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
131;52;11850391X;Arendt, Hannah;1906.0;1975.0;Soziologin + Politologin + Philosophin + Historikerin + Schriftstellerin;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
132;51;118550683;Heym, Georg;1887.0;1912.0;Schriftsteller + Jurist + Librettist + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
133;51;118511270;Birken, Sigmund von;1626.0;1681.0;Schriftsteller + Erzieher + Hofmeister;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
