GND;VDBO_source;author_full;author_simple;length
113666691;Killy_1;Alvensleben, (Karl) Ludwig (Friedrich Wilhelm Gustav) von, auch: Gustav Sellen, Chlodwig;Alvensleben, Ludwig von;307.0
119552582;Killy_1;Alverdes, Paul;Alverdes, Paul;552.0
109368835;Killy_1;Alves, Eva-Maria;Alves, Eva-Maria;329.0
118648594;Killy_1;Alxinger, Johann Baptist Edler von;Alxinger, Johann Baptist von;1356.0
116297956;Killy_1;Am Ende, Johann Joachim Gottlob;Am Ende, Johann Joachim Gottlob;600.0
1089771940;Killy_1;Am Wald, Georg, eigentl.: Georg Baldinus;Am Wald, Georg;524.0
;Killy_1;;‘Amadis’;1633.0
120116383;Killy_1;Aman, Elisabeth;Aman, Elisabeth;256.0
128636130;Killy_1;Amandus von Graz;Amandus von Graz;404.0
120085879;Killy_1;Amann, Jürg;Amann, Jürg;598.0
118820052;Killy_1;Amanshauser, Gerhard;Amanshauser, Gerhard;655.0
;Killy_1;;‘Ambraser Heldenbuch’;1080.0
118502433;Killy_1;Ambrosi, Gustinus;Ambrosi, Gustinus;413.0
122403339;Killy_1;Ambühl, Am Bühl, Johann Ludwig, auch: Johann Jakob Altdorfer;Ambühl, Johann Ludwig;559.0
123073189;Killy_1;"Amerbach, Johann, in Basler Akten auch: Hans Venediger, Hans Trucker, Hans von A.; im Heimatort Amorbach nur: Hans Welcker, ebenso in Pariser Universitätsakten";Amerbach, Johann;754.0
119059835;Killy_1;Amerbach, Amerpach, Veit, latinisiert: Vitus Amerpachius, eigentl.: Trolmann;Amerbach, Veit;524.0
118937197;Killy_1;Amery, Carl, eigentl.: Christian Mayer;Amery, Carl;1355.0
118502549;Killy_1;Améry, Jean, eigentl.: Hans Maier (jüdischer Vorname: Chaim), weitere Pseudonyme: Han(n)s Mayer, Roger Lippens;Améry, Jean;1426.0
122350766;Killy_1;Ammersbach, Heinrich, auch: Heinrich Hansen, Christian Warner;Ammersbach, Heinrich;653.0
116299290;Killy_1;Ammon, Christoph Friedrich von;Ammon, Christoph Friedrich von;360.0
118648861;Killy_1;Amort, Eusebius;Amort, Eusebius;1047.0
118645056;Killy_1;Amsdorff, Nikolaus von;Amsdorff, Nikolaus von;1097.0
129718025;Killy_1;Amthor, Christoph Heinrich, auch: Anastasius Sincerus;Amthor, Christoph Heinrich;914.0
116303050;Killy_1;Anacker, Heinrich;Anacker, Heinrich;413.0
118502751;Killy_1;Anders, Günther, eigentl.: Günther Stern;Anders, Günther;2080.0
118848178;Killy_1;Anders, Richard;Anders, Richard;420.0
118502786;Killy_1;Andersch, Alfred;Andersch, Alfred;1847.0
119111365;Killy_1;Anderson, Sascha;Anderson, Sascha;585.0
1243920327;Killy_1;André, Johann;André, Johann;246.0
1037638441;Killy_1;Andreae, Gottlieb;Andreae, Gottlieb;394.0
11899669X;Killy_1;Andreae, Jacob, Jakob, auch: Schmi(e)dlin, Faber;Andreae, Jacob;1857.0
118502883;Killy_1;Andreae, Johann Valentin, auch: Alitophilus, Florentinus de Valentia;Andreae, Johann Valentin;2676.0
118502905;Killy_1;Andreas Capellanus, um 1200;Andreas Capellanus;1023.0
116309512;Killy_1;Andreas, Fred, auch: Walter Röhl;Andreas, Fred;271.0
118502921;Killy_1;Andreas-Salomé, Lou(ise), auch: Henry Lou;Andreas-Salomé, Lou;1079.0
118502956;Killy_1;Andres, Stefan;Andres, Stefan;1628.0
118503006;Killy_1;Andrian-Werburg, Leopold Frhr. von;Andrian-Werburg, Leopold von;727.0
;Killy_1;;‘Anegenge’;619.0
136566375;Killy_1;Angel, Ernst;Angel, Ernst;259.0
118503111;Killy_1;Angelus Silesius, auch: Johann(es) Angelus (Silesius), Bonamicus, Hierotheus Boranowsky, Christianus Conscientiosus, eigentl.: Johannes Scheffler, Initialen: J. E., J. S.;Angelus Silesius;2045.0
116311118;Killy_1;Angely, Louis (Jean Jacques);Angely, Louis;406.0
120315106;Killy_1;Ani, Friedrich;Ani, Friedrich;303.0
100011780;Killy_1;Anna Sophia, Landgräfin von Hessen-Darmstadt;Anna Sophia, Landgräfin von Hessen-Darmstadt;398.0
118503200;Killy_1;Anneke, Mathilde Franziska, auch: M. F. von Tabouillot;Anneke, Mathilde Franziska;746.0
;Killy_1;;‘Annolied’;1291.0
;Killy_1;;‘Anonymus Neveleti’;488.0
118645315;Killy_1;Anshelm, Valerius, eigentl.: Valerius Rüd oder Ryd;Anshelm, Valerius;538.0
118503472;Killy_1;Anton Ulrich , Herzog zu Braunschweig und Lüneburg;Anton Ulrich, Herzog von Braunschweig-Wolfenbüttel;2316.0
118653067;Killy_1;Antonius von Pforr;Antonius von Pforr;814.0
11850357X;Killy_1;Anzengruber, Ludwig, auch: L. Gruber, Momus;Anzengruber, Ludwig;1499.0
116315865;Killy_1;Apel, (Johann) August;Apel, August;422.0
119008068;Killy_1;Apelles von Löwenstern auf Langenhof, Matthäus, auch: Matthaeo Leonastro de Longueville Neapolitano, eigentl.: Matthäus Appel oder Appelt;Apelles von Löwenstein auf Langenhof, Matthäus;528.0
118645455;Killy_1;Apian, Apianus, Peter, eigentl.: P. Bienewitz, Bennewitz;Apian, Peter;1017.0
118829637;Killy_1;Apitz, Bruno;Apitz, Bruno;539.0
;Killy_1;;‘Mittelniederdeutsche Apokalypse’;727.0
118649914;Killy_1;Aquila, Kaspar;Aquila, Kaspar;518.0
118503839;Killy_1;Archenholtz, Archenholz, Johann Wilhelm von;Archenholtz, Johann Wilhelm von;1002.0
118645609;Killy_1;Archipoeta;Archipoeta;1731.0
119608561;Killy_1;Arconatus, Hieronymus;Arconatus, Hieronymus;524.0
12465200X;Killy_1;Arends, Wilhelm Erasmus;Arends, Wilhelm Erasmus;228.0
118503901;Killy_1;Arendt, Erich;Arendt, Erich;1461.0
11850391X;Killy_1;Arendt, Hannah;Arendt, Hannah;1870.0
118812351;Killy_1;Arens, Birgitta;Arens, Birgitta;415.0
;Killy_1;;‘Aristoteles und Phyllis’;607.0
118184555;Killy_1;Arjouni, Jakob, eigentl.: Jakob Michelsen;Arjouni, Jakob;426.0
108979792;Killy_1;Arlati, Renato P.;Arlati, Renato P.;279.0
115602348;Killy_1;Armbruster, Johann Michael;Armbruster, Johann Michael;973.0
11854621X;Killy_1;Armer Hartmann;Armer Hartmann;473.0
118504061;Killy_1;Arnau, Frank;Arnau, Frank;360.0
124704697;Killy_1;Arndt, Ernst Moritz;Arndt, Ernst Moritz;1982.0
118504134;Killy_1;Arndt, Arnd, Johann;Arndt, Johann;1752.0
1243899247;Killy_1;Arnheim, Rudolf;Arnheim, Rudolf;766.0
118504177;Killy_1;Arnim, (Ludwig) Achim (eigentl.: Carl Joachim Friedrich Ludwig) von;Arnim, Achim von;3637.0
118504185;Killy_1;Arnim, Bettine von (getauft: Catharina Elisabetha Ludovica Magdalena);Arnim, Bettine von;2278.0
11907074X;Killy_1;Arnim, Gisela von, verh. Grimm, auch: Marilla Fittchersvogel;Arnim, Gisela von;286.0
118650319;Killy_1;Arnisaeus, Henning, latinisiert aus Arentsehe oder Arensehe;Arnisaeus, Henning;707.0
118819704;Killy_1;Arnold von Lübeck,;Arnold von Lübeck;391.0
1055730869;Killy_1;Arnold, Christoph;Arnold, Christoph;726.0
118927698;Killy_1;Arnold, (Johann) Georg Daniel;Arnold, Georg Daniel;269.0
1166284204;Killy_1;Arnold, Arnoldi, Gottfried, auch: Christophorus Irenaeus;Arnold, Gottfried;1441.0
100017045;Killy_1;Arnold, Igna(t)z Ferdinand, auch: Theodor Ferdinand Kajetan A.;Arnold, Ignaz Ferdinand;474.0
129625760;Killy_1;Arnoldt, Daniel Heinrich;Arnoldt, Daniel Heinrich;517.0
118504207;Killy_1;Priester Arnolt;Arnolt, Priester;468.0
119512297;Killy_1;Arnschwanger, Johann Christoph;Arnschwanger, Johann Christoph;477.0
;Killy_1;;‘Arnsteiner Mariengebet’;282.0
118504398;Killy_1;Arp, Hans, auch: Jean A.;Arp, Hans;1267.0
116353244;Killy_1;Arpe, Peter Friedrich;Arpe, Peter Friedrich;776.0
116353333;Killy_1;Arresto, Christlieb Georg Heinrich, gen. Burchardi;Arresto, Christlieb Georg Heinrich, gen. Burchardi;470.0
13258106X;Killy_1;d'Artis, Gabriel;d'Artis, Gabriel;764.0
118504533;Killy_1;Artmann, H(ans) C(arl);Artmann, H. C.;1664.0
124252362;Killy_1;Artner, Maria Theresia (Therese) von, Pseud.: Theone;Artner, Maria Theresia von;486.0
118504568;Killy_1;Arx, Cäsar von;Arx, Cäsar von;506.0
118646036;Killy_1;Asch, Schalom;Asch, Schalom;416.0
118646052;Killy_1;Ascher, Saul, auch: Theodiskus, Auslachers (Anagramm);Ascher, Saul;437.0
120459469;Killy_1;Askan, Katrin;Askan, Katrin;397.0
116361441;Killy_1;Asmodi, Herbert, eigentl.: Herbert Kaiser;Asmodi, Herbert;573.0
137053096;Killy_1;Assig, Hans von, auch: Hannß von Aßig u. Siegersdorff;Assig, Hans von;287.0
102182094;Killy_1;Assing, David (Assur), eigentl.: David Assur, verh. mit Rosa Maria Assing;Assing, David;398.0
119376377;Killy_1;Assing, Rosa Ludmilla, auch: Achim Lothar, Talora;Assing, Rosa Ludmilla;688.0
116371641;Killy_1;Assing, Rosa Maria (Antoinette Pauline), auch: Rosa Maria;Assing, Rosa Maria;510.0
118650742;Killy_1;Ast, (Georg Anton) Friedrich;Ast, Friedrich;1188.0
11637215X;Killy_1;Astel, (Hans) Arnfrid, auch: Hanns Ramus;Astel, Arnfrid;579.0
118650769;Killy_1;Aston, Louise, geb. L. Franziska Hoche, später Aston-Meier;Aston, Louise;540.0
119500892;Killy_1;Atabay, Cyrus;Atabay, Cyrus;991.0
100018858;Killy_1;Athanasius von Dillingen, bürgerlich: Johannes Hofacker;Athanasius von Dillingen;400.0
;Killy_1;;‘Athis und Prophilias’;456.0
116211946;Killy_1;Auburtin, Victor;Auburtin, Victor;662.0
126147701;Killy_1;Audorf, Jakob;Audorf, Jakob;332.0
116377208;Killy_1;Auerbach, Alfred;Auerbach, Alfred;283.0
11865103X;Killy_1;Auerbach, Berthold, auch: Theobald Chauber (Anagramm), eigentl.: Moses Baruch Auerbacher;Auerbach, Berthold;904.0
118505025;Killy_1;Auerbach, Erich;Auerbach, Erich;487.0
118505033;Killy_1;Auernheimer, Raoul, auch: R. Heimer, R. Otmar;Auernheimer, Raoul;496.0
11850505X;Killy_1;Auffenberg, Joseph Frhr. von;Auffenberg, Johann Frhr. von;845.0
;Killy_1;;‘Augsburger Georgsspiel’;294.0
;Killy_1;;‘Augsburger Heiligkreuzspiel’ (auch: ‘Südbairisches Heiligkreuzspiel’);345.0
;Killy_1;;‘Augsburger Liederbuch’;533.0
;Killy_1;;‘Augsburger Passionsspiel’;425.0
1157485391;Killy_1;Augspurger, August;Augspurger, August;543.0
118651080;Killy_1;Augstein, (Karl) Rudolf, auch: Jens Daniel, Moritz Pfeil;Augstein, Rudolf;1284.0
118505076;Killy_1;August d. J., Herzog zu Braunschweig u. Lüneburg, auch: Gustavus Selenus;August d. J., Herzog zu Braunschweig u. Lüneburg;517.0
104279699;Killy_1;Augusta Maria, Markgräfin von Baden-Durlach, geb. Herzogin von Schleswig-Holstein;Augusta Maria, Markgräfin von Baden-Durlach;432.0
100937004;Killy_1;Augustin von Hammerstetten, urkundlich erwähnt 1462-1497. –;Hammerstetten, Augustin von;396.0
11955223X;Killy_1;Augustin, Ernst;Augustin, Ernst;490.0
11922349X;Killy_1;Aurbacher, Ludwig;Aurbacher, Ludwig;673.0
;Killy_1;;‘Aurea Catena Homeri’;677.0
100019668;Killy_1;Aurpach, Johann;Aurpach, Johann;438.0
118829211;Killy_1;Ausländer, Rose, eigentl.: Rosalie Beatrice Ruth A., geb. Scherzer;Ausländer, Rose;1529.0
131876309;Killy_1;Autorff, Ernst Jacob von, auch: Der Vergnügte Amydor;Autorff, Ernst Jacob von;317.0
119025698;Killy_1;Ava, auch: Frau Ava;Ava;997.0
100019382;Killy_1;"Avancini, Nicolaus von, S. J., auch: Niccolò Avancini; Nicolaus Avancinus";Avancini, Nicolaus von;1652.0
;Killy_1;;‘Ave maris stella’ und ‘Ave praeclara maris stella’;279.0
118651218;Killy_1;Avenarius, Ferdinand (Ernst Albert);Avenarius, Ferdinand;627.0
11850522X;Killy_1;Aventinus, Johannes, eigentl.: Johannes Turmair;Aventinus;1414.0
122079566;Killy_1;Axtelmeier, Acxtelmeier, Stanislaus Reinhard Um 1700 tätiger;Axtelmeier, Stanislaus Reinhard;281.0
124975925;Killy_1;Ayren, Armin;Ayren, Armin;424.0
118869647;Killy_1;Ayrenhoff, Cornelius Hermann von;Ayrenhoff, Cornelius Hermann von;987.0
118651307;Killy_1;Ayrer, Jakob;Ayrer, Jakob;1073.0
118505378;Killy_1;Baader, (Benedikt) Franz (Xaver) von (geadelt 1808);Baader, Franz von;1561.0
118505394;Killy_1;Baader, Johannes;Baader, Johannes;624.0
116019891;Killy_1;Bab, Julius;Bab, Julius;857.0
118988107;Killy_1;Babo, Josef Marius von (geadelt 1791);Babo, Josef Marius von;982.0
101243715;Killy_1;Babst, Diederich Georg;Babst, Diederich Georg;279.0
;Killy_1;;‘Babylonische Gefangenschaft’;412.0
118505505;Killy_1;Bach, Carl Philipp Emanuel;Bach, Carl Philipp Emanuel;470.0
116023015;Killy_1;Bach, Ernst;Bach, Ernst;221.0
120068281;Killy_1;Bachér, Ingrid, eigentl.: I. Schwarze, verh. Erben;Bachér, Ingrid;594.0
118729624;Killy_1;Bacheracht, Therese von, geb. von Struve, verh. von Lützow, auch: Therese;Bacheracht, Therese von;415.0
116026146;Killy_1;Bacherer, Gustav, auch: Dyonis;Bacherer, Gustav;550.0
1089715250;Killy_1;Bachmann, Guido;Bachmann, Guido;452.0
118505602;Killy_1;Bachmann, Ingeborg;Bachmann, Ingeborg;2472.0
100013945;Killy_1;Bachmann, Paul, auch: Amnicola;Bachmann, Paul;759.0
118505645;Killy_1;Bachofen, Johann Jakob;Bachofen, Johann Jakob;1359.0
118646230;Killy_1;Bacmeister, Ernst, auch: Felix Montanus;Bacmeister, Ernst;394.0
104275197;Killy_1;Baczko, Ludwig (Adolf Franz Joseph) von;Baczko, Ludwig von;845.0
134319249;Killy_1;Bader, Josef;Bader, Josef;495.0
119368218;Killy_1;Badt-Strauss, Bertha, auch: Bath Hillel, Bert Bast, geb. Badt;Badt-Strauss, Bertha;321.0
119539055;Killy_1;Bächler, Wolfgang, auch: Wolfgang Born;Bächler, Wolfgang;834.0
11881950X;Killy_1;Bächtold, Albert;Bächtold, Albert;441.0
118505777;Killy_1;Baeck, Leo;Baeck, Leo;793.0
12019564X;Killy_1;Bäcker, Heimrad;Bäcker, Heimrad;547.0
116033290;Killy_1;Baedeker, Karl;Baedeker, Karl;429.0
123991226;Killy_1;Bärfuss, Lukas;Bärfuss, Lukas;440.0
128816708;Killy_1;Baerholtz, Bärholz, Daniel;Baerholtz, Daniel;338.0
107968169;Killy_1;Bärmann, Georg Nikolaus, auch: Jürgen Niklaas;Bärmann, Georg Nikolaus;392.0
118651838;Killy_1;Bäte, Ludwig;Bäte, Ludwig;396.0
119560038;Killy_1;Bäuerle, Adolf (Johann), auch: Friedrich zur Linde, Otto Horn, Fels;Bäuerle, Adolf;561.0
118651870;Killy_1;Bäumer, Gertrud;Bäumer, Gertrud;765.0
123504619;Killy_1;Bäumer, Ludwig;Bäumer, Ludwig;293.0
118505904;Killy_1;Baggesen, Jens (Immanuel);Baggesen, Jens;1066.0
118505955;Killy_1;Bahr, Hermann;Bahr, Hermann;1397.0
11850598X;Killy_1;Bahrdt, Carl Friedrich, auch: M. Avenarius, Kasimir Laugl, Nicolai der Jüngere u. a.;Bahrdt, Carl Friedrich;1151.0
12240145X;Killy_1;Baier, Lothar;Baier, Lothar;450.0
120580217;Killy_1;Baierl, Helmut;Baierl, Helmut;307.0
100422004;Killy_1;Baldamus, (Max) Karl, auch: Eugen von St. Alban;Baldamus, Karl;408.0
118506137;Killy_1;Balde, Jacob;Balde, Jacob;1783.0
118829548;Killy_1;Baldemann, Otto;Baldemann, Otto;486.0
117765430;Killy_1;Baldovius, Samuel;Baldovius, Samuel;337.0
119317443;Killy_1;Balk, Theodor, auch: T. K. Fodor, eigentl.: Fodor Dragutin;Balk, Theodor;383.0
118506234;Killy_1;Ball, Hugo;Ball, Hugo;2203.0
11776552X;Killy_1;Ball, Kurt Herwarth, auch: Joachim Dreetz;Ball, Kurt Herwarth;238.0
131654314;Killy_1;Balticus, Martinus;Balticus, Martinus;686.0
118652230;Killy_1;Baluschek, Hans;Baluschek, Hans;322.0
104672765;Killy_1;Balzli, Ernst;Balzli, Ernst;275.0
118506366;Killy_1;Bamm, Peter, eigentl.: Curt Emmrich;Bamm, Peter;627.0
116048174;Killy_1;Bandemer, Susanne von, geb. von Franklin;Bandemer, Susanne von;433.0
12405692X;Killy_1;Bánk, Zsuzsa;Bánk, Zsuzsa;448.0
122526465;Killy_1;Bapst (auch: Babst), Michael;Bapst, Michael;438.0
100020739;Killy_1;Bar, Georg Ludwig von;Bar, Georg Ludwig von;413.0
118506617;Killy_1;Barlach, Ernst;Barlach, Ernst;1583.0
107726122;Killy_1;Baroth, Hans Dieter, eigentl.: Dieter Schmidt;Baroth, Hans Dieter;407.0
118652702;Killy_1;Bartels, Adolf;Bartels, Adolf;565.0
118657380;Killy_1;Barth, Caspar von, latinisiert: Gasparus Barthius, auch: Tarraeus Hebius;Barth, Caspar von;1141.0
1157769349;Killy_1;Barth, Christian Gottlob;Barth, Christian Gottlob;678.0
118506749;Killy_1;Barth, Emil;Barth, Emil;588.0
1089847173;Killy_1;Barth, Heinrich;Barth, Heinrich;293.0
118506803;Killy_1;Barth, Karl;Barth, Karl;1330.0
124597866;Killy_1;Barth, Michael;Barth, Michael;427.0
120262592;Killy_1;Barth, Peter;Barth, Peter;499.0
118567349;Killy_1;Barthel, Kurt, auch: KuBa;Barthel, Kurt;339.0
11865280X;Killy_1;Barthel, Ludwig Friedrich;Barthel, Ludwig Friedrich;324.0
118652818;Killy_1;Barthel, Max;Barthel, Max;668.0
