DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
891285938,Thomas Münzer als Theologe der Revolution / Ernst Bloch,UB 1295,1989.0,118511742,"Bloch, Ernst (Verfasser)",118511742,"Bloch, Ernst ",12 Christliche Religion + 10 Philosophie + 63 Geschichte und Historische Hilfswissenschaften
900846828,"Thomas Mann, Mario und der Zauberer / hrsg. von Karl Pörnbacher",UB 8153,1989.0,122902114,"Pörnbacher, Karl (Herausgeber)",,,53 Deutsche Sprach- und Literaturwissenschaft
890666040,Theorie des Dramas : für die Sekundarstufe / hrsg. von Ulrich Staehle,UB 9503,1989.0,,,,,23 Schulbücher
900489065,Theätet : griechisch/deutsch / Platon. Übers. u. hrsg. von Ekkehard Martens,UB 6338,1989.0,118594893 + 120534819,"Plato (Verfasser) + Martens, Ekkehard (Übersetzer)",118594893,Plato ,10 Philosophie + 56 Klassische Sprach- und Literaturwissenschaft
891662049,The third man / Graham Greene,UB 9180,1989.0,11854179X,"Greene, Graham (Verfasser)",11854179X,"Greene, Graham ",59 Belletristik
900173696,"The merchant of Venice : englisch und deutsch = Der Kaufmann von Venedig / William Shakespeare. Übers., kommentiert u. hrsg. von Barbara Puschmann-Nalenz",UB 9800,1989.0,118613723,"Shakespeare, William (Verfasser) + Puschmann-Nalenz, Barbara (Übersetzer)",118613723,"Shakespeare, William ",59 Belletristik
891173366,The loneliness of the long-distance runner / Alan Sillitoe,UB 9192,1989.0,118765396,"Sillitoe, Alan (Verfasser)",118765396,"Sillitoe, Alan ",59 Belletristik
890795495,The jungle book / Rudyard Kipling. Hrsg. von Dieter Hamblock,UB 9244,1989.0,118562290,"Kipling, Rudyard (Verfasser)",118562290,"Kipling, Rudyard ",59 Belletristik
890504679,The great gatsby / F. Scott Fitzgerald,UB 9242,1989.0,118533592,"Fitzgerald, F. Scott (Verfasser)",118533592,"Fitzgerald, F. Scott ",810 Englische Literatur Amerikas + B Belletristik + 420 Englisch
891173374,The garden party : five short stories / Katherine Mansfield. Hrsg. von Karin Friedmann,UB 9152,1989.0,118577263,"Mansfield, Katherine (Verfasser)",118577263,"Mansfield, Katherine ",820 Englische Literatur + B Belletristik + 420 Englisch
890832765,Technik und Ethik / hrsg. von Hans Lenk u. Günter Ropohl,UB 8395,1989.0,118779435,"Lenk, Hans (Herausgeber)",,,35 Technik allgemein + 10 Philosophie
890906394,"Tao-tê-king : das heilige Buch vom Weg und von der Tugend / Lao-tse. Übers., Einl. u. Anm. von Günther Debon",UB 6798,1989.0,118569678 + 118812874,"Laozi (Verfasser) + Debon, Günther (Übersetzer)",118569678,Laozi ,59 Belletristik
890470146,Taifun : Roman / Joseph Conrad. Aus d. Engl. übertr. von Elsie Eckert,UB 8701,1989.0,118521861,"Conrad, Joseph (Verfasser)",118521861,"Conrad, Joseph ",59 Belletristik
891610316,"Tagebuch aus dem London des 17. Jahrhunderts / Samuel Pepys. Ausgew., übers. u. hrsg. von Helmut Winter",UB 9970,1989.0,118592653,"Pepys, Samuel (Verfasser)",118592653,"Pepys, Samuel ",940 Geschichte Europas
