GND,author,title,year,state,ID_orig
118599631,Remarque,Arc de Triomphe,1945,Hessen,139
118599631,Remarque,Im Westen nichts Neues,1928,Hessen,116
118601024,Rilke,Die Aufzeichnungen des Malte Laurids Brigge,1910,Hessen,88
118601024,Rilke,Die Turnstunde,1899,Hessen,80
118601024,Rilke,Ich fürchte mich so vor der Menschen Wort,1899,Hessen,77
118603140,Roth,Hiob,1930,Hessen,121
120596679,Rothmann,Stier,1991,Hessen,247
118885006,Süskind,Das Parfum,1985,Hessen,232
118604627,Sachs,Chor der Geretteten,1946,Hessen,141
120512866,Sacks,"Der Mann, der seine Frau mit einem Hut verwechselte",1987,Hessen,230
119013517,Schütz,Galaxas Hochzeit,1993,Hessen,254
118607626,Schiller,Augustenburger Briefe,1793,Hessen,19
118607626,Schiller,Das Lied von der Glocke,1799,Hessen,23
118607626,Schiller,Der Verbrecher aus verlorener Ehre,1786,Hessen,13
118607626,Schiller,Die Räuber,1781,Hessen,12
118607626,Schiller,Don Carlos,1787,Hessen,14
118607626,Schiller,Maria Stuart,1800,Hessen,25
118607987,Schlegel,Lucinde,1799,Hessen,24
115673784,Schlink,Der Vorleser,1995,Hessen,257
115673784,Schlink,Selbs Justiz,1987,Hessen,238
115673784,Schlink,Selbs Mord,2001,Hessen,276
118609475,Schnabel,Insel Felsenburg,1731,Hessen,286
118758675,Schneider,Lenz,1973,Hessen,195
119279487,Schneider,Schlafes Bruder,1992,Hessen,250
118609807,Schnitzler,Fräulein Else,1924,Hessen,109
118609807,Schnitzler,Leutnant Gustl,1900,Hessen,78
118609807,Schnitzler,Reigen,1903,Hessen,92
118609807,Schnitzler,Traumnovelle,1925,Hessen,111
118612743,Seghers,Das siebte Kreuz,1939,Hessen,133
118612743,Seghers,Transit,1947,Hessen,138
118613480,Seume,Mein Spaziergang nach Syrakus im Jahre 1802,1803,Hessen,284
121385817,Simmons,Salzwasser,1999,Hessen,268
118615688,Sophokles,Antigone,-442,Hessen,293
132082179,Stanišić,Vor dem Fest,2014,Hessen,298
118617958,Sternheim,1913,1915,Hessen,100
118617958,Sternheim,Der Snob,1914,Hessen,96
118617958,Sternheim,Die Hose,1911,Hessen,91
118618156,Stifter,Der Nachsommer,1857,Hessen,64
118618725,Storm,Aquis submersus,1876,Hessen,66
118619047,Strauß,Die Fehler des Kopisten,1997,Hessen,265
118619047,Strauß,Groß und klein,1978,Hessen,203
118619047,Strauß,Trilogie des Wiedersehens,1977,Hessen,202
12989432X,Tieck,Franz Sternbalds Wanderungen,1798,Hessen,22
118839276,Timm,Am Beispiel meines Bruders,2003,Hessen,277
118839276,Timm,Der Schlangenbaum,1986,Hessen,236
118839276,Timm,Heißer Sommer,1974,Hessen,184
118839276,Timm,Kopfjäger,1991,Hessen,235
118623230,Toller,Masse Mensch,1921,Hessen,105
11864291X,Tolstoi,Krieg und Frieden,1885,Hessen,65
119545667,Treichel,Der Verlorene,1998,Hessen,267
11862444X,Tucholsky,Rheinsberg: Ein Bilderbuch für Verliebte,1912,Hessen,93
11862444X,Tucholsky,Schloß Gripsholm. Eine Sommergeschichte,1931,Hessen,122
115698027,Vanderbeke,Das Muschelessen,1990,Hessen,246
118626728,Vesper,Die Reise,1977,Hessen,207
118504185,von Arnim,Die Günderode,1840,Hessen,56
118504185,von Arnim,Goethes Briefwechsel mit einem Kinde,1835,Hessen,53
118504185 + 118515055,von Arnim / Brentano,Des Knaben Wunderhorn,1805,Hessen,26
118520040,von Chamisso,Peter Schlemihls wundersame Geschichte,1814,Hessen,37
118529390,von Eichendorff,Aus dem Leben eines Taugenichts,1826,Hessen,45
118529390,von Eichendorff,Das Marmorbild,1819,Hessen,41
118532766,von Feuerbach,Kaspar Hauser,1832,Hessen,49
118540238,von Goethe,Die Leiden des jungen Werthers,1774,Hessen,8
118540238,von Goethe,Faust I,1808,Hessen,299
118540238,von Goethe,Iphigenie auf Tauris,1787,Hessen,11
118540238,von Goethe,Italienische Reise,1813,Hessen,289
118540238,von Goethe,Novelle,1828,Hessen,21
118540238,von Goethe,Prometheus,1789,Hessen,15
118540238,von Goethe,Torquato Tasso,1790,Hessen,18
118540238,von Goethe,Wilhelm Meisters Lehrjahre,1795,Hessen,20
118540238,von Goethe,Wilhelm Meisters Wanderjahre,1821,Hessen,43
118552759,von Hofmannsthal,Der Brief des Lord Chandos,1902,Hessen,81
118553739,von Horváth,Jugend ohne Gott,1937,Hessen,128
118563076,von Kleist,Das Bettelweib von Locarno,1810,Hessen,33
118563076,von Kleist,Das Erdbeben in Chili,1807,Hessen,28
118563076,von Kleist,Die Marquise von O.,1808,Hessen,32
118563076,von Kleist,Die Verlobung in St. Domingo,1811,Hessen,36
118563076,von Kleist,Michael Kohlhaas,1810,Hessen,30
118563076,von Kleist,Penthesilea,1808,Hessen,31
118563076,von Kleist,Prinz Friedrich von Homburg,1821,Hessen,288
118563076,von Kleist,Über das Marionettentheater,1810,Hessen,34
118594117,Wagner,Die Kindermörderin,1776,Hessen,9
118628852,Walser,Brandung,1985,Hessen,231
118628852,Walser,Das Einhorn,1957,Hessen,159
118628852,Walser,Der Sturz,1973,Hessen,188
118628852,Walser,Die Gallistl'sche Krankheit,1972,Hessen,191
118628852,Walser,Ein fliehendes Pferd,1978,Hessen,211
118628852,Walser,Geschichte vom verlorenen Sohn,,Hessen,283
118628852,Walser,Halbzeit,1960,Hessen,158
118628852,Walser,Ohne einander,1993,Hessen,252
118629387,Wassermann,Caspar Hauser oder die Trägheit des Herzens,1908,Hessen,87
118629867,Wedekind,Frühlings Erwachen,1891,Hessen,84
118630539,Weiss,Abschied von den Eltern,1961,Hessen,166
118630539,Weiss,Ästhetik des Widerstands,1975,Hessen,199
118630539,Weiss,Die Ermittlung,1965,Hessen,181
120295245,Werner,Zündels Abgang,1984,Hessen,228
11904157X,Widmer,Der blaue Siphon,1992,Hessen,251
11904157X,Widmer,Top Dogs,1996,Hessen,264
118634666,Wolf,Der geteilte Himmel,1963,Hessen,179
118634666,Wolf,Kassandra,1983,Hessen,227
118634666,Wolf,Kein Ort. Nirgends,1979,Hessen,216
118634666,Wolf,Kindheitsmuster,1976,Hessen,204
118634666,Wolf,Medea. Stimmen,1996,Hessen,262
123120802,Zeh,Corpus Delicti: Ein Prozess,2009,Hessen,282
118637304,Zuckmayer,Das kalte Licht,1955,Hessen,153
118637479,Zweig,Auf Reisen,1976,Hessen,201
118637479,Zweig,Die Schachnovelle,1942,Hessen,131
118637452,Zweig,Erziehung vor Verdun,1935,Hessen,125
