GND,Reclam_Autor,Reclam_tokens_Summe,Reclam_types_Summe,Reclam_UBs
https://d-nb.info/gnd/118520040,"Chamisso, Adelbert von ",4.0,1.0,UB 93 + UB 93 + UB 93 + UB 93
https://d-nb.info/gnd/118520199,"Charms, Daniil ",1.0,1.0,UB 19073
https://d-nb.info/gnd/118520245,"Chaucer, Geoffrey ",1.0,1.0,UB 7744
https://d-nb.info/gnd/118520393,"Chesterton, G. K. ",1.0,1.0,UB 1698
https://d-nb.info/gnd/118520547,"Chrétien, de Troyes ",1.0,1.0,UB 8360
https://d-nb.info/gnd/118520792,"Cibulka, Hanns ",2.0,2.0,UB 1700 + UB 20083
https://d-nb.info/gnd/118520814,"Cicero, Marcus Tullius ",4.0,3.0,UB 18273 + UB 9928 + UB 19807 + UB 9928
https://d-nb.info/gnd/118521098,"Claudius, Matthias ",1.0,1.0,UB 1691
https://d-nb.info/gnd/11911609X,"Cleese, John  + Booth, Connie ",1.0,1.0,UB 9042
https://d-nb.info/gnd/114950881,"Cleese, John  + Booth, Connie ",1.0,1.0,UB 9042
https://d-nb.info/gnd/118895117,"Coetzee, J. M. ",1.0,1.0,UB 19774
https://d-nb.info/gnd/118669788,"Collodi, Carlo ",1.0,1.0,UB 19749
https://d-nb.info/gnd/118564994,"Colombo, Cristoforo ",1.0,1.0,UB 18079
https://d-nb.info/gnd/118521861,"Conrad, Joseph ",2.0,2.0,UB 20135 + UB 8714
https://d-nb.info/gnd/118522620,"Crane, Stephen ",1.0,1.0,UB 9289
https://d-nb.info/gnd/118503243,"D'Annunzio, Gabriele ",1.0,1.0,UB 9346
https://d-nb.info/gnd/120259885,"Daeninckx, Didier ",1.0,1.0,UB 19728
https://d-nb.info/gnd/118630962,"Dahl, Roald ",2.0,1.0,UB 9080 + UB 9080
https://d-nb.info/gnd/118523708,"Dante, Alighieri ",3.0,3.0,UB 9813 + UB 796 + UB 19216
https://d-nb.info/gnd/118915835,"De Crescenzo, Luciano ",1.0,1.0,UB 19747
https://d-nb.info/gnd/118524275,"Defoe, Daniel ",3.0,2.0,UB 7611 + UB 19913 + UB 7611
https://d-nb.info/gnd/120386712,"Delerm, Philippe ",3.0,2.0,UB 19722 + UB 19722 + UB 19867
https://d-nb.info/gnd/118619284,Der Stricker ,2.0,2.0,UB 18821 + UB 658
https://d-nb.info/gnd/118525239,"Dickens, Charles ",6.0,5.0,UB 18740 + UB 18740 + UB 14039 + UB 19989 + UB 14309 + UB 14423
https://d-nb.info/gnd/118525255,"Dickinson, Emily ",2.0,2.0,UB 7908 + UB 14016
https://d-nb.info/gnd/118525263,"Diderot, Denis ",1.0,1.0,UB 9335
https://d-nb.info/gnd/121633667,"Disher, Garry ",1.0,1.0,UB 9101
https://d-nb.info/gnd/119123754,"Dorfman, Ariel ",2.0,1.0,UB 9143 + UB 9143
https://d-nb.info/gnd/118527053,"Dostoevskij, Fëdor Michajlovič ",19.0,16.0,UB 2126 + UB 18543 + UB 19806 + UB 8047 + UB 2126 + UB 19862 + UB 6570 + UB 8021 + UB 6256 + UB 2481 + UB 2128 + UB 2481 + UB 8423 + UB 2647 + UB 14237 + UB 14181 + UB 2481 + UB 14623 + UB 14385
https://d-nb.info/gnd/11852710X,"Doyle, Arthur Conan ",3.0,3.0,UB 1726 + UB 9654 + UB 9003
https://d-nb.info/gnd/120497077,"Droste, Wiglaf ",3.0,3.0,UB 20043 + UB 20068 + UB 20125
https://d-nb.info/gnd/118527533,"Droste-Hülshoff, Annette von ",6.0,3.0,UB 1858 + UB 18292 + UB 18292 + UB 1858 + UB 19414 + UB 18292
https://d-nb.info/gnd/119038986,"Druon, Maurice ",2.0,1.0,UB 9282 + UB 9282
https://d-nb.info/gnd/118528084,"Du Maurier, Daphne ",1.0,1.0,UB 9287
