ID;Bundesland;Nachname_original;Nachname;GND;Geschlecht;Titel;Erscheinungsjahr;Erscheinungsjahr_k;Lit.preis_Name;Lit.preis_Autor_in_Name;Jug.literatur
1582;Baden-Württemberg;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
706;Niedersachsen;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
156;Hessen;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
2996;Saarland;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
805;Niedersachsen;Andersen;Andersen;https://d-nb.info/gnd/118502794;männlich;Märchensammlung;unbekannt;1849;;;ja
646;Niedersachsen;Ani;Ani;https://d-nb.info/gnd/120315106;männlich;Wie Licht schmeckt;2002;2002;;;ja
1736;Baden-Württemberg;Anouilh;Anouilh;https://d-nb.info/gnd/118503251;männlich;Antigone;1944;1944;;;nein
2446;Sachsen-Anhalt;Anouilh;Anouilh;https://d-nb.info/gnd/118503251;männlich;Antigone;1944;1944;;;nein
137;Hessen;Anouilh;Anouilh;https://d-nb.info/gnd/118503251;männlich;Antigone;1944;1944;;;nein
1214;Bayern;Anouilh;Anouilh;https://d-nb.info/gnd/118503251;männlich;unbekannt;unbekannt;1910;;;
1800;Baden-Württemberg;Ōe;Ōe;https://d-nb.info/gnd/118735969;männlich;Eine persönliche Erfahrung;1964;1964;;;nein
1751;Baden-Württemberg;Apuleius;Apuleius;https://d-nb.info/gnd/11850374X;männlich;Der goldene Esel;unbekannt;unbekannt;;;nein
345;Mecklenburg-Vorpommern;Aristoteles;Aristoteles;https://d-nb.info/gnd/118650130;männlich;unbekannt;unbekannt;-384;;;
708;Niedersachsen;Arjouni;Arjouni;https://d-nb.info/gnd/118184555;männlich;Magic Hoffmann;1996;1996;;;nein
1221;Bayern;Arjouni;Arjouni;https://d-nb.info/gnd/118184555;männlich;unbekannt;unbekannt;1964;;;
2689;Rheinland-Pfalz;Arp;Arp;https://d-nb.info/gnd/118504398;männlich;unbekannt;unbekannt;1886;;;
816;Niedersachsen;Arrabal;Arrabal;https://d-nb.info/gnd/11850441X;männlich;Picknick im Felde;1959;1959;;;nein
2497;Baden-Württemberg;Atwood;Atwood;https://d-nb.info/gnd/118646168;weiblich;Katzenauge;1990;1990;;;nein
978;Niedersachsen;Ausländer;Ausländer;https://d-nb.info/gnd/118829211;weiblich;Kindheit I;1965;1965;;;nein
1058;Niedersachsen;Ausländer;Ausländer;https://d-nb.info/gnd/118829211;weiblich;Mit giftblauem Feuer;1942;1942;;;nein
1016;Niedersachsen;Ausländer;Ausländer;https://d-nb.info/gnd/118829211;weiblich;Nachtzauber;1965;1956;;;nein
1695;Baden-Württemberg;Ausländer;Ausländer;https://d-nb.info/gnd/118829211;weiblich;unbekannt;unbekannt;1901;;;
1254;Bayern;Ausländer;Ausländer;https://d-nb.info/gnd/118829211;weiblich;unbekannt;unbekannt;1901;;;
1804;Baden-Württemberg;Austen;Austen;https://d-nb.info/gnd/118505173;weiblich;Emma;1815;1815;;;nein
