GND,author,title,year,state,ID_orig
11893466X,Ford,Abendländer,1998,Baden-Württemberg,1479
118534734,Frank,Das Tagebuch der Anne Frank,1950,Baden-Württemberg,1590
118703145,Fried,unbekannt,,Baden-Württemberg,1705
118536109,Frisch,Andorra,1961,Baden-Württemberg,1529
118536109,Frisch,Biedermann und die Brandstifter,1958,Baden-Württemberg,1531
118536109,Frisch,Homo Faber,1957,Baden-Württemberg,1530
118536109,Frisch,Stiller,1954,Baden-Württemberg,1532
118537598,García Lorca,Yerma,1934,Baden-Württemberg,2499
118537601,García Márquez,Chronik eines angekündigten Todes,1981,Baden-Württemberg,2491
118884972,García-Alas y Ureña,Sein einziger Sohn,2002,Baden-Württemberg,2501
11941208X,Genazino,"Eine Frau, eine Wohnung, ein Roman",2003,Baden-Württemberg,1558
11853856X,George,unbekannt,,Baden-Württemberg,1706
11884556X,Gernhardt,unbekannt,,Baden-Württemberg,1707
118539124,Gide,Die enge Pforte,1909,Baden-Württemberg,2503
118540424,Gogol,Der Mantel,1842,Baden-Württemberg,2523
118540424,Gogol,Die Nase,1836,Baden-Württemberg,2524
118540505,Goldoni,Der Diener zweier Herren,1746,Baden-Württemberg,2520
119371391,Grünbein,unbekannt,,Baden-Württemberg,1708
118541579,Grass,Das Treffen in Telgte,1979,Baden-Württemberg,1560
118541579,Grass,Die Blechtrommel,1959,Baden-Württemberg,1559
118541579,Grass,Katz und Maus,1961,Baden-Württemberg,1574
118541765,Green,Adrienne Mesurat,1927,Baden-Württemberg,2500
11854179X,Greene,Die Kraft und die Herrlichkeit,1940,Baden-Württemberg,2481
118543032,Gryphius,unbekannt,,Baden-Württemberg,1678
11894293X,Gstrein,Einer,1988,Baden-Württemberg,1645
118544551,Härtling,Nachgetragene Liebe,1980,Baden-Württemberg,1635
118551981,Hölderlin,unbekannt,,Baden-Württemberg,1685
11919967X,Hürlimann,Fräulein Stark,2001,Baden-Württemberg,1636
119328860,Hackl,Abschied von Sidonie,1989,Baden-Württemberg,1593
