;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
393;beutin_per0397;11941208X;Genazino, Wilhelm;688 f.;Autor;1;;2
394;beutin_per0398;11853856X;George, Stefan;358–360, 364, 456 , 474,296, 307;Autor;7;;8
395;beutin_per0399;118538659;Gerhardt, Paul;123 f.;Autor;1;;2
396;beutin_per0400;118538675;Géricault, Theodore;667;Autor;1;;1
397;beutin_per0401;120033577;Gerlach, Harald;574;Autor;1;;1
398;beutin_per0402;11884556X;Gernhardt, Robert;651–653;Autor;2;;3
399;beutin_per0403;118538810;Gerstäcker, Friedrich;340;Autor;1;;1
400;beutin_per0404;118538918;Gervinus, Georg Gottfried;249, 264, 303;Autor;3;;3
401;beutin_per0405;117543640;Geßner, Salomon;184;Autor;1;;1
402;beutin_per0406;118539124;Gide, André;368;Autor;1;;1
403;beutin_per0407;11853940X;Ginsberg, Allen;700;Autor;1;;1
404;beutin_per0408;118539442;Giordano, Ralph;520;Autor;1;;1
405;beutin_per0409;118539523;Giraudoux, Jean;507;Autor;1;;1
406;beutin_per0410;118717758;Gleim, Johann Wilhelm Ludwig;179;Autor;1;;1
407;beutin_per0411;116683945;Gluchowski, Bruno;633;Autor;1;;1
408;beutin_per0412;118539841;Gluck, Christoph Willibald;195;Autor;1;;1
409;beutin_per0413;118695894;Goes, Albrecht;488;Autor;1;;1
410;beutin_per0414;11871791X;Goethe, Cornelia;177;Autor;1;;1
411;beutin_per0415;118540238;Goethe, Johann Wolfgang von;158, 161, 163, 170, 173, 176, 178 , 186, 188, 191–198, 201–203, 205, 208 , 213, 216, 218, 223, 225, 230–240, 249, 260 , 263–265, 268 , 271, 273, 285, 292, 295, 302, 466, 519, 572, 604, 653–655, 721 ,90, 130, 140, 155;Autor;44;;62
412;beutin_per0416;119501651;Goetz, Rainald;755,587, 665;Autor;3;;3
413;beutin_per0417;119367971;Goldhagen, Daniel;708;Autor;1;;1
414;beutin_per0418;118540556;Goll, Claire;377, 406;Autor;2;;2
415;beutin_per0419;118540564;Goll, Iwan;424;Autor;1;;1
416;beutin_per0420;11869636X;Gomringer, Eugen;635 f.;Autor;1;;2
417;beutin_per0421;118639293;Gorki, Maxim;519 f.;Autor;1;;2
418;beutin_per0422;119466007;Görlich, Günter;567;Autor;1;;1
419;beutin_per0423;11854019X;Görres, Joseph;252;Autor;1;;1
420;beutin_per0424;118540912;Gotsche, Otto;486;Autor;1;;1
421;beutin_per0425;118696696;Gottfried von Neufen;37;Autor;1;;1
422;beutin_per0426;118540947;Gottfried von Straßburg;31–33, 41;Autor;3;;4
423;beutin_per0427;118540963;Gotthelf, Jeremias;288 , 296, 311, 314,252;Autor;5;;5
424;beutin_per0428;118541013;Gottsched, Christoph;"128 , 159–166, 170,
172, 175, 183, 186, 207 , 212";Autor;10;;16
425;beutin_per0430;118541102;Grabbe, Christian Dietrich;232, 255, 258, 267, 285, 291, 333;Autor;7;;7
426;beutin_per0431;118541358;Graf, Oskar Maria;458–460, 472 , 603,423 f.;Autor;5;;7
427;beutin_per0432;118541579;Grass, Günter;"601, 607 , 614, 618, 620–
624, 626, 640, 643 , 655,
679, 712–714, 728, 733,494, 563";Autor;17;;21
428;beutin_per0433;1035498367;Gratzik, Paul;574;Autor;1;;1
429;beutin_per0434;118541978;Greiffenberg, Catharina Regina von;123, 144;Autor;2;;2
430;beutin_per0435;122450353;Greiner, Ulrich;674 f.;Autor;1;;2
431;beutin_per0436;118542052;Greßmann, Uwe;552;Autor;1;;1
432;beutin_per0437;118542192;Grillparzer, Franz;"251 , 255, 258, 288, 291,
296, 428,239 f.";Autor;8;;9
433;beutin_per0438;118542249;Grimm, Hans;441, 445;Autor;2;;2
434;beutin_per0439;118542265;Grimm, Wilhelm;"8, 207, 211, 241, 243,
249, 282, 285, 303";Autor;9;;9
435;;118542257;Grimm, Jacob;"8, 207, 211, 241, 243,
249, 282, 285, 303";Autor;9;;9
436;beutin_per0440;118542273;Grimmelshausen, Hans Jacob Christoph von;142, 146–148, 175,109, 139;Autor;6;;7
437;beutin_per0441;120435233;Gröschner, Annett;669;Autor;1;;1
438;beutin_per0442;131999192;Groß, Jürgen;574;Autor;1;;1
