GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/115400206,page_not_found,,,,,,,,"Albinus, Johann Georg"
https://d-nb.info/gnd/1158842627,page_not_found,,,,,,,,"Albinus, Michael"
https://d-nb.info/gnd/1112471774,page_not_found,,,,,,,,Albrecht
https://d-nb.info/gnd/118644386,page_not_found,,,,,,,,"Albrecht, Johann Friedrich Ernst"
https://d-nb.info/gnd/1011184621,page_not_found,,,,,,,,"Albrecht, Lesch"
https://d-nb.info/gnd/116010010,page_found,Sophie Albrecht,5.0,8.0,,1.0,1.0,1.0,"Albrecht, Sophie"
https://d-nb.info/gnd/118644378,page_not_found,,,,,,,,"Albrecht, von Eyb"
https://d-nb.info/gnd/118501623,page_not_found,,,,,,,,"Albrecht, von Halberstadt"
https://d-nb.info/gnd/118501631,page_not_found,,,,,,,,"Albrecht, von Johannsdorf"
https://d-nb.info/gnd/102421641,page_not_found,,,,,,,,"Albrecht, von Kemenaten"
https://d-nb.info/gnd/11850164X,page_not_found,,,,,,,,"Albrecht, von Scharfenberg"
https://d-nb.info/gnd/118501712,page_found,Anita Albus,4.0,87.0,148.0,8.0,2.0,,"Albus, Anita"
https://d-nb.info/gnd/119604108,page_not_found,,,,,,,,"Alciato, Andreas"
https://d-nb.info/gnd/128976292,page_not_found,,,,,,,,"Aler, Paul"
https://d-nb.info/gnd/109326628,page_not_found,,,,,,,,"Alexan, Georg Friedrich"
https://d-nb.info/gnd/118812955,page_found,Elisabeth Alexander,,,,,,,"Alexander, Elisabeth"
https://d-nb.info/gnd/118644629,page_not_found,,,,,,,,"Alexander, Meister, Schriftsteller"
https://d-nb.info/gnd/10126304X,page_not_found,,,,,,,,"Alexander, Württemberg, Graf"
https://d-nb.info/gnd/1092233695,page_found,Willibald Alexis,,,10.0,,2.0,,"Alexis, Willibald"
https://d-nb.info/gnd/1256774294,page_found,Dante Alighieri,3.9,235.0,709.0,59.0,42.0,3.0,"Alighieri, Dante"
https://d-nb.info/gnd/123478669,page_found,Urs Allemann,,,,,,,"Allemann, Urs"
https://d-nb.info/gnd/118869159,page_found,Isabel Allende,4.1,3837.0,3587.0,361.0,87.0,61.0,"Allende, Isabel"
https://d-nb.info/gnd/118502107,page_not_found,,,,,,,,"Allmers, Hermann"
https://d-nb.info/gnd/119278472,page_found,Pedro Almodóvar,3.9,7.0,14.0,5.0,,,"Almodóvar, Pedro"
https://d-nb.info/gnd/123526183,page_found,David Almond,4.0,258.0,361.0,40.0,,3.0,"Almond, David"
https://d-nb.info/gnd/119260514,page_found,Jenny Aloni,4.0,1.0,,,,,"Aloni, Jenny"
https://d-nb.info/gnd/129004847,page_not_found,,,,,,,,"Alpinus, Marcus Tatius"
https://d-nb.info/gnd/118644858,page_not_found,,,,,,,,"Alsted, Johann Heinrich"
https://d-nb.info/gnd/116292962,page_found,Franz Alt,3.9,42.0,73.0,6.0,,,"Alt, Franz"
https://d-nb.info/gnd/1186986255,page_not_found,,,,,,,,"Alt, Georg"
https://d-nb.info/gnd/123176166,page_found,Sabine Alt,4.0,42.0,52.0,4.0,,,"Alt, Sabine"
https://d-nb.info/gnd/118502255,page_found,Peter Altenberg,3.8,6.0,15.0,3.0,,,"Altenberg, Peter"
https://d-nb.info/gnd/115674861,page_found,Matthias Altenburg,3.6,27.0,35.0,2.0,,,"Altenburg, Matthias"
https://d-nb.info/gnd/118502263,page_found,Wolfgang Altendorf,3.5,4.0,12.0,,,,"Altendorf, Wolfgang"
https://d-nb.info/gnd/100010350,page_not_found,,,,,,,,"Altenstaig, Johann"
https://d-nb.info/gnd/100010423,page_not_found,,,,,,,,"Althamer, Andreas"
https://d-nb.info/gnd/119089610,page_found,Peter Paul Althaus,,,,,1.0,,"Althaus, Peter Paul"
https://d-nb.info/gnd/11850228X,page_not_found,,,,,,,,"Althusius, Johannes"
https://d-nb.info/gnd/1024104567,page_not_found,,,,,,,,"Altmann, Matthias"
https://d-nb.info/gnd/130068292,page_not_found,,,,,,,,"Altmann, René"
https://d-nb.info/gnd/101044127,page_not_found,,,,,,,,"Altswert, Meister"
https://d-nb.info/gnd/118648586,page_not_found,,,,,,,,"Alveldt, Augustin von"
https://d-nb.info/gnd/113666691,page_not_found,,,,,,,,"Alvensleben, Ludwig von"
https://d-nb.info/gnd/119552582,page_found,Paul Alverdes,4.0,3.0,,1.0,1.0,,"Alverdes, Paul"
https://d-nb.info/gnd/109368835,page_not_found,,,,,,,,"Alves, Eva-Maria"
https://d-nb.info/gnd/118648594,page_not_found,,,,,,,,"Alxinger, Johann Baptist von"
https://d-nb.info/gnd/122403339,page_not_found,,,,,,,,"Am Bühl, Johann Ludwig"
https://d-nb.info/gnd/116297956,page_not_found,,,,,,,,"Am Ende, Johann Joachim Gottlob"
https://d-nb.info/gnd/1089771940,page_not_found,,,,,,,,"Am Wald, Georg"
https://d-nb.info/gnd/120116383,page_not_found,,,,,,,,"Aman, Elisabeth"
https://d-nb.info/gnd/128636130,page_not_found,,,,,,,,"Amandus, von Graz"
https://d-nb.info/gnd/120085879,page_found,Jürg Amann,4.0,53.0,82.0,5.0,,,"Amann, Jürg"
https://d-nb.info/gnd/118820052,page_found,Gerhard Amanshauser,3.8,5.0,,2.0,,,"Amanshauser, Gerhard"
https://d-nb.info/gnd/118502433,page_not_found,,,,,,,,"Ambrosi, Gustinus"
https://d-nb.info/gnd/123073189,page_not_found,,,,,,,,"Amerbach, Johannes"
https://d-nb.info/gnd/119059835,page_not_found,,,,,,,,"Amerbach, Veit"
https://d-nb.info/gnd/118937197,page_found,Carl Amery,4.0,51.0,76.0,4.0,4.0,2.0,"Amery, Carl"
