,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
2430,117269891,"Schilling, Gustav",Männlich,1766-11-25,1839-07-30,Schriftsteller + Offizier + Schriftsteller,Deutschland
2431,117270563,"Stemplinger, Eduard",Männlich,1870-01-06,1964-02-25,Schriftsteller + Philologe + Gymnasiallehrer + Schulleiter + Oberstudiendirektor,Deutschland
2432,117272698,"Stephan, Hanna",Weiblich,1902-06-02,1980,Schriftstellerin + Philologin + Lehrerin,Deutschland
2433,117276413,"Schirnding, Albert von",Männlich,1935,,Schriftsteller + Lyriker + Essayist + Kritiker + Gymnasiallehrer + Übersetzer + Herausgeber,Deutschland
2434,11727786X,"Weisflog, Carl",Männlich,1770,1828,Schriftsteller + Jurist + Richter,Polen + Deutschland
2435,117278785,"Welti, Albert Jakob",Männlich,1894-10-11,1965-12-05,Schriftsteller + Dramatiker + Maler + Schriftsteller,Schweiz + Deutschland
2436,117279234,"Weltsch, Felix",Männlich,1884,1964,Philosoph + Bibliothekar + Journalist,Island + Tschechische Republik
2437,117282448,"Ludwig, Christiane Sophie",Weiblich,1764,1815,Schriftstellerin,Deutschland
2438,117282901,"Schlechta, Franz von",Männlich,1796-10-20,1875-03-23,Schriftsteller + Beamter + Dramatiker,Tschechische Republik + Österreich
2439,117286877,"Stolle, Ferdinand",Männlich,1806-09-28,1872-09-29,Schriftsteller + Journalist,Deutschland
2440,117289000,"Stoppe, Daniel",Männlich,1697,1747,Schriftsteller + Konrektor + Librettist,Deutschland
2441,117289337,"Storch, Ludwig",Männlich,1803-04-14,1881-02-05,Schriftsteller + Publizist + Verleger + Drucker + Schriftsteller,Deutschland
2442,11728971X,"Lübbe, Axel",Männlich,1880-12-18,1963-12-15,Schriftsteller,Deutschland
2443,117292516,"Unger, Alfred H.",Männlich,1902-01-20,1989-11-08,Schriftsteller + Filmkritiker + Drehbuchautor + Dramatiker + Aufnahmeleiter + Komponist + Dramaturg,Deutschland + Großbritannien
2444,117292672,"Lüdemann, Georg Wilhelm von",Männlich,1796-05-15,1863-04-11,Schriftsteller + Reiseschriftsteller + Übersetzer + Jurist + Verwaltungsbeamter + Schriftsteller,Deutschland
2445,117293059,"Wense, Hans Jürgen von der",Männlich,1894-11-10,1966-11-09,Komponist + Schriftsteller + Übersetzer,Deutschland
2446,117293091,"Unger, Friederike Helene",Weiblich,1751,1813-09-21,Schriftstellerin + Buchhändlerin + Druckerin + Verlegerin + Schriftstellerin,Deutschland
2447,117293210,"Unger, Hellmuth",Männlich,1891-02-10,1953-07-13,Schriftsteller + Augenarzt + Arzt + Übersetzer + Dramatiker,Deutschland
2448,117298573,"Lütgen, Kurt",Männlich,1911-11-25,1992-07-25,Schriftsteller + Historiker + Germanist,Deutschland
2449,117301817,"Weisser, Friedrich Christoph",Männlich,1761-03-07,1836-01-09,Schriftsteller,Deutschland
2450,117302732,"Theremin, Franz",Männlich,1780-03-19,1846-09-26,Dompropst + Evangelischer Theologe + Autor + Hofprediger,Deutschland
2451,117302996,"Weiss, Karl",Männlich,1850-11-23,1901-10-27,Schriftsteller + Dramatiker + Bediensteter + Schauspieler + Dramatiker,Österreich + Deutschland
2452,117303569,"Schumann, Werner",Männlich,1898-10-02,1982,Schriftsteller + Redakteur + Dramaturg + Journalist + Kunstkritiker,Deutschland
2453,117303836,"Werner, Walter",Männlich,,,,Deutschland
2454,11730493X,"Stowasser, Josef M.",Männlich,1854-03-10,1910-03-24,Schriftsteller + Gymnasiallehrer + Pädagoge + Klassischer Philologe,Österreich
2455,117306355,"Wertheimer, Paul",Männlich,1874-02-04,1937-03-19,Schriftsteller + Jurist + Redakteur + Rechtsanwalt + Lyriker + Theaterkritiker,Deutschland + Österreich
2456,117306614,"Weitbrecht, Carl",Männlich,1847-12-08,1904-06-10,Schriftsteller + Literarhistoriker + Schriftsteller,Deutschland
2457,117307203,"Weitz, Johann",Unbekannt,1576-09,1642-04-24,Gymnasiallehrer + Rektor + Klassischer Philologe,Deutschland
2458,11730767X,"Werthes, Friedrich August Clemens",Männlich,1748-10-12,1817-12-05,Schriftsteller + Übersetzer + Romancier + Schriftsteller,Deutschland
2459,117309087,"Stratz, Rudolf",Männlich,1864-12-06,1936-10-19,Schriftsteller,Deutschland
2460,117311235,"Unzer, Ludwig August",Männlich,1748,1774,Schriftsteller + Theologe,Deutschland
2461,117311251,"Unzer, Johann Christoph",Männlich,1747-05-17,1809-08-20,Arzt + Schriftsteller + Physiker,Deutschland
2462,117313157,"Streckfuß, Adolf",Männlich,1823-05-10,1895-10-11,Schriftsteller + Historiker + Journalist,Deutschland
2463,117313165,"Streckfuß, Karl",Männlich,1778-09-20,1844-07-26,Schriftsteller + Übersetzer + Jurist + Verwaltungsjurist,Deutschland
2464,117316261,"Schurz, Anton",Männlich,1794,1859,Beamter + Schriftsteller + Biograf,Österreich
2465,117316369,"Schurzfleisch, Konrad Samuel",Männlich,1641-12-03,1708-07-07,Polyhistor + Naturwissenschaftler + Historiker + Hochschullehrer + Bibliotheksdirektor,Deutschland
2466,11731711X,"Streicher, Andreas",Männlich,1761-12-13,1833-05-25,Komponist + Klavierlehrer + Klavier- und Cembalobauer + Schriftsteller + Pianist,Österreich + Deutschland
2467,117319198,"Westerhoff, Günter",Männlich,1923-03-26,,Schriftsteller + Lyriker + Musiker,Deutschland
2468,117319996,"Westermayer, Georg",Männlich,1836-04-12,1893-12-17,Pfarrer,Deutschland
2469,117320005,"Luscinius, Ottmar",Männlich,1487,1537-09-05,Theologe + Humanist + Musikwissenschaftler + Priester,Deutschland
2470,11732065X,"Westkirch, Luise",Weiblich,1858-07-08,1941-07-11,Schriftstellerin,Niederlande + Deutschland
2471,117321265,"Lüth, Erich",Männlich,1902-02-01,1989,Journalist + Publizist + Schriftsteller + Abgeordneter + Redakteur,Deutschland
2472,117324795,"Vacano, Emile Mario",Männlich,1840-11-16,1892-06-07,Schriftsteller + Librettist + Schauspieler + Romancier + Artist + Schauspieler + Schriftsteller,Österreich + Italien + Deutschland
2473,117325015,"Vaerst, Friedrich Christian Eugen von",Männlich,1792-04-17,1855-09-16,Schriftsteller + Eigentümer + Theaterdirektor + Freiherr,Deutschland
2474,117327190,"Westphalen, Engel Christine",Weiblich,1758-12-08,1840-05-10,Schriftstellerin + Stifterin + Lyrikerin + Dramatikerin + Schriftstellerin,Deutschland
2475,117328871,"Schlinkert, Martha",Weiblich,1913-04-24,1979-06-28,Kinderbuchautorin,Deutschland
2476,117330876,"Schlüter, Herbert",Männlich,1906,2004,Schriftsteller + Übersetzer,Föderative Republik Jugoslawien; Jugoslawien + Montenegro + Serbien + Deutschland
2477,117331651,"Lutze, Arthur",Männlich,1813-06-01,1870-04-11,Arzt + Schriftsteller + Homöopath + Dramatiker,Deutschland
2478,117334189,"Schwager, Johann Moritz",Männlich,1738-09-24,1804-04-29,Pfarrer + Evangelischer Theologe + Schriftsteller,Deutschland
2479,117341428,"Thilo, Valentin",Männlich,1607-04-19,1662-07-27,Philosoph + Philologe + Evangelischer Theologe + Kirchenlieddichter + Hochschullehrer,Deutschland
2480,117342580,"Widmannstetter, Johann Albrecht",Männlich,1506,1557,Jurist + Theologe + Orientalist + Hebraist + Diplomat + Politiker,Deutschland
2481,117345563,"Thomas, Adrienne",Weiblich,1897-06-24,1980-11-07,Schriftstellerin + Romanschriftstellerin,USA + Frankreich + Österreich + Deutschland
2482,117349062,"Struve, Amalie",Weiblich,1824,1862,Schriftstellerin + Feministin + Revolutionärin,USA + Deutschland
2483,117349666,"Wyss, Johann Rudolf",Männlich,1781-03-04,1830-03-21,Schriftsteller + Philosoph,Schweiz
2484,117350249,"Thomasius, Gottfried",Männlich,1660-03-24,1746-05-10,Arzt + Polyhistor + Philosoph,Deutschland
2485,117350567,"Thommen, Elisabeth",Weiblich,1888-04-10,1960-06-24,Journalistin + Schriftstellerin,Schweiz
2486,117354287,"Studion, Simon",Männlich,1543-03-06,1605,Historiker + Archäologe + Theologe,Deutschland
2487,117355925,"Thrasolt, Ernst",Männlich,1878-05-12,1945-01-20,Pfarrer + Redakteur + Autorenlesung + Schriftsteller,Deutschland
2488,117357715,"Wiegand, Carl Friedrich",Männlich,1877-01-29,1942-05-26,Schriftsteller + Lehrer + Dramatiker + Schriftsteller,Deutschland
2489,117360007,"Vehse, Carl Eduard",Männlich,1802-12-18,1870-06-13,Archivar + Historiker,Deutschland
2490,117361275,"Wiegler, Paul",Männlich,1878-09-15,1949-08-22,Schriftsteller + Redakteur + Übersetzer + Literarhistoriker,Deutschland
2491,117362743,"Wiener, Oskar",Männlich,1873-03-04,1944-04-20,Schriftsteller,Tschechische Republik
2492,117363669,"Stuppäck, Hermann",Männlich,1903-09-28,1988-12-15,Politiker + Lyriker + Journalist + Verleger + Kulturkritiker,Österreich
2493,11736438X,"Siegfried, Walther",Männlich,1858-03-20,1947-11-01,Schriftsteller,Deutschland + Schweiz
2494,117366714,"Schwarz, Georg",Männlich,1902-07-16,1991-02-20,Schriftsteller,Deutschland
2495,117367893,"Schwarz, Sophie",Weiblich,1754-06-17,1789-10-26,Schriftstellerin,Deutschland
2496,117368857,"Velde, Carl Franz van der",Männlich,1778-09-27,1824-04-06,Schriftsteller + Justizbeamter + Schriftsteller,Deutschland
2497,117369993,"Venator, Balthasar",Männlich,1594,1664-02-11,Schriftsteller + Schriftsteller + Hofrat,Deutschland
2498,117370053,"Venatorius, Thomas",Männlich,1488,1551,Humanist + Evangelischer Theologe + Reformator + Pfarrer + Klassischer Philologe + Mathematiker,Deutschland
2499,117374504,"Wünsche, Konrad",Männlich,1928-02-25,2012-04-05,Pädagoge + Lehrer,Deutschland
2500,117375616,"Supper, Auguste",Weiblich,1867-01-22,1951-04-14,Schriftstellerin,Deutschland
2501,11737606X,"Tieck, Dorothea",Weiblich,1799-03-26,1841-02-21,Übersetzerin,Deutschland
2502,117376663,"Sigel, Kurt",Männlich,1931-08-03,2022-06-08,Schriftsteller + Mundartschriftsteller + Künstler + Musiker,Deutschland
2503,117381292,"Henrich-Wilhelmi, Hedwig",Weiblich,1833-03-17,1913-02-08,Schriftstellerin + Dramatikerin + Feministin,Deutschland
2504,117383201,"Wilk, Werner",Männlich,1900-09-06,1970-01-14,Schriftsteller + Redakteur + Literaturkritiker,Deutschland
2505,11738464X,"Silberstein, August",Männlich,1827-07-01,1900-03-07,Schriftsteller + Publizist + Librettist + Schriftsteller,Deutschland
2506,117388335,"Schwarzkopf, Nikolaus",Männlich,1884-03-27,1962-10-17,Schriftsteller + Lehrer,Deutschland
2507,117388920,"Vermehren, Johann Bernhard",Männlich,1774,1803,Schriftsteller + Evangelischer Theologe + Hochschullehrer,Deutschland
2508,117389102,"Wulffen, Erich",Männlich,1862-10-03,1936-07-10,Jurist + Ministerialdirektor + Politiker + Schriftsteller + Drehbuchautor + Kriminologe,Deutschland
2509,117391042,"Sylburg, Friedrich",Männlich,1536,1596-02-17,Historiker + Philologe + Bibliothekar + Lehrer,Deutschland
2510,117391085,"Sylvanus, Erwin",Männlich,1917-10-03,1985-11-27,Schriftsteller + Journalist + Dramatiker,Deutschland
2511,117391298,"Szabo, Wilhelm",Männlich,1901-08-30,1986-06-14,Schriftsteller + Pädagoge,Österreich
2512,11739467X,"Willkomm, Ernst",Männlich,1810-02-10,1886-05-25,Schriftsteller + Schriftsteller,Deutschland
2513,11739646X,"Vetter, Conrad",Unbekannt,1546,1622-10-11,Katholischer Theologe + Pfarrer + Domprediger + Mönch,Deutschland
2514,117397032,"Schweichel, Robert",Männlich,1821-07-12,1907-04-25,Schriftsteller + Journalist + Lehrer,Deutschland
2515,117403148,"Sinsheimer, Hermann",Männlich,1884-03-06,1950-09-29,Schriftsteller + Journalist + Chefredakteur + Regisseur + Schriftsteller + Theaterdirektor,Deutschland + Großbritannien
2516,117409030,"Treitschke, Georg Friedrich",Männlich,1776-08-29,1842-06-06,Schriftsteller + Entomologe + Schauspieler + Regisseur + Liederdichter + Lepidopterologe + Schauspieler + Wirtschaftswissenschaftler + Dramatiker,Österreich + Deutschland
2517,117409391,"Trenck, Siegfried von der",Männlich,1882,1951,Rechtsanwalt + Notar + Schriftsteller,Deutschland
2518,117413836,"Trentini, Albert von",Männlich,1878-10-10,1933-10-18,Schriftsteller + Jurist,Italien + Österreich
2519,117414271,"Trescho, Sebastian Friedrich",Männlich,1733,1804,Diakon + Schriftsteller,Deutschland + Russland + Polen
2520,117416053,"Sintenis, Christian Friedrich",Männlich,1750-03-12,1820-01-31,Evangelischer Theologe + Pfarrer + Schriftsteller + Romancier + Freimaurer + Gymnasiallehrer,Deutschland
2521,117416312,"Vietta, Egon",Männlich,1903-11-11,1959-11-29,Dramaturg + Schriftsteller + Schriftsteller,Deutschland
2522,117417092,"Trew, Abdias",Männlich,1597-07-29,1669-04-12,Mathematiker + Astronom + Evangelischer Theologe + Pfarrer + Hochschullehrer + Gymnasiallehrer + Publizist + Musikschriftsteller + Selbstverleger,Deutschland
2523,117417904,"Schwenter, Daniel",Männlich,1585-01-31,1636-01-19,Mathematiker + Orientalist + Hebraist + Arabist + Hochschullehrer,Deutschland
2524,117418307,"Schwenger, Hannes",Männlich,1941-12-26,,Schriftsteller,Deutschland
2525,117418528,"Sittenberger, Hans",Männlich,1863-04-20,1943-11-02,Schriftsteller + Theaterkritiker + Schriftsteller + Literaturwissenschaftler,Deutschland + Österreich
2526,117418730,"Triller, Daniel Wilhelm",Männlich,1695-02-10,1782-05-22,Arzt + Schriftsteller + Philologe + Übersetzer + Hochschullehrer + Gymnasiallehrer,Deutschland
2527,117420808,"Wittek, Bruno Hanns",Männlich,1895-02-15,1935-01-27,Schriftsteller,Deutschland
2528,117421243,"Tovote, Heinz",Männlich,1864-04-12,1946-02-04,Schriftsteller + Erzähler + Lyriker,Deutschland
2529,117421359,"Toxites, Michael",Männlich,1514,1581,Arzt + Schriftsteller + Humanist,Frankreich + Italien
2530,117421650,"Traeger, Albert",Männlich,1830-06-30,1912-03-26,Schriftsteller + Politiker + Jurist + Redakteur + Abgeordneter + Lyriker + Schriftsteller,Deutschland
2531,117421952,"Tralles, Balthasar Ludwig",Männlich,1708,1797,Arzt + Philosoph + Schriftsteller,Deutschland + Polen
2532,11742482X,"Skowronnek, Richard",Männlich,1862-03-12,1932-02-17,Schriftsteller + Journalist + Dramaturg + Dramatiker + Schriftsteller + Journalist + Schriftsteller + Dramaturg,Deutschland
2533,117426547,"Wittmaack, Adolph",Männlich,1878,1957,Schriftsteller + Kaufmann,Deutschland
2534,117428035,"Villinger, Hermine",Weiblich,1849-02-06,1917-03-03,Schriftstellerin + Lyrikerin,Deutschland
2535,117429740,"Wülfer, Daniel",Männlich,1617-07-03,1685-05-11,Pfarrer + Hochschullehrer + Gymnasiallehrer + Kirchenlieddichter,Deutschland
2536,117429899,"Wittstock, Erwin",Männlich,1889-02-25,1962-12-27,Schriftsteller + Lehrer + Rechtsanwalt,Rumänien + Deutschland
2537,117430641,"Schwiefert, Fritz",Männlich,1890-12-04,1961-01-31,Dramatiker + Drehbuchautor + Schriftsteller + Kritiker,Deutschland
2538,117431133,"Tschabuschnigg, Adolf von",Männlich,1809,1877,Jurist + Schriftsteller,Österreich
2539,117431427,"Tscharner, Vincenz Bernhard von",Männlich,1728,1778,Politiker + Schriftsteller + Historiker,Schweiz
2540,117432482,"Tschudi, Fridolin",Männlich,1912-06-11,1966-01-05,Schriftsteller + Schriftsteller,Schweiz + Deutschland
2541,117432504,"Tschudi, Friedrich von",Männlich,1820-05-01,1886-01-24,Naturwissenschaftler + Schriftsteller + Politiker,Schweiz
2542,117432792,"Wolke, Christian Heinrich",Männlich,1741-08-21,1825-01-08,Pädagoge + Linguist + Philologe + Lehrer + Schriftsteller,Russland + Deutschland
2543,117432814,"Wolken, Karl Alfred",Männlich,1929-08-26,2020-07-02,Schriftsteller + Lyriker,Deutschland + Italien
2544,117434531,"Woltereck, Christoph",Männlich,1686-07-01,1735-06-11,Historiker + Schriftsteller + Philologe + Oberamtmann,Deutschland
2545,11743468X,"Wolters, Friedrich",Männlich,1876-09-02,1930-04-14,Historiker + Literarhistoriker + Schriftsteller,Deutschland
2546,117435007,"Woltmann, Karl Ludwig von",Männlich,1770-02-09,1817-06-19,Historiker + Schriftsteller + Philologe + Schriftsteller,Deutschland
2547,117435325,"Wolzogen, Alfred von",Männlich,1823-05-27,1883-01-13,Schriftsteller + Theaterintendant + Regierungsbeamter + Schriftsteller,Deutschland
2548,11743535X,"Virdung, Michael",Männlich,1575-06-05,1637-10-28,Schriftsteller + Historiker,Deutschland
2549,117443018,"Wolff, Pius Alexander",Männlich,1782-05-03,1828-08-28,Schauspieler + Dramatiker + Schriftsteller + Regisseur,Deutschland
2550,11744328X,"Wolff, Victoria",Weiblich,1903-12-10,1992-09-16,Schriftstellerin + Journalistin + Drehbuchautorin,Schweiz + USA + Deutschland + Frankreich
2551,117444154,"Wolf, Friedrich August",Männlich,1759-02-15,1824-08-08,Klassischer Philologe + Klassischer Philologe + Altertumswissenschaftler + Hochschullehrer + Philologe,Deutschland
2552,11744443X,"Seelen, Johann Heinrich von",Männlich,1688-08-08,1762-10-21,Philologe + Theologe + Historiker + Lehrer + Selbstverleger,Deutschland
2553,117444480,"Seeler, Moriz",Männlich,1896-03-01,1942-08-15,Journalist + Regisseur + Librettist + Lyriker + Filmproduzent + Filmproduzent + Theaterintendant + Regisseur,Deutschland + Tschechoslowakei + Österreich + Polen
2554,117444790,"Wolf, Johann Christoph",Männlich,1683-02-21,1739-07-25,Polyhistor + Philologe + Orientalist + Evangelischer Theologe + Hochschullehrer + Gymnasiallehrer + Pfarrer + Bibliophiler,Deutschland
2555,117445673,"Wolf, Peter Philipp",Männlich,1761-01-28,1808-08-09,Historiker + Schriftsteller + Buchdrucker + Verleger + Buchhändler,Deutschland
2556,117447048,"Segebrecht, Wulf",Männlich,1935,,Literaturwissenschaftler,Deutschland
2557,117448877,"Vögtlin, Adolf",Männlich,1861-02-25,1947-04-07,Schriftsteller + Lehrer + Übersetzer,Schweiz
2558,117450022,"Wolff, Eugen",Männlich,1863-09-28,1929-02-25,Literarhistoriker + Theaterwissenschaftler + Hochschullehrer + Theaterwissenschaftler,Deutschland
2559,117450944,"Voss, Richard",Männlich,1851-09-02,1918-06-11,Schriftsteller + Dramatiker + Bibliothekar + Lyriker,Italien + Polen + Deutschland
2560,117451169,"Söhle, Karl",Männlich,1861-03-01,1947-12-16,Schriftsteller + Lehrer + Musiker,Deutschland
2561,117451746,"Trog, Hans",Männlich,1864-01-20,1928-07-10,Schriftsteller + Redakteur + Theaterkritiker + Kunstkritiker + Redakteur + Theaterkritiker,Deutschland + Schweiz
2562,117452084,"Vries, Berend de",Männlich,1883-12-31,1959-11-25,Schriftsteller,Deutschland
2563,117453773,"Woellner, Johann Christoph von",Männlich,1732-05-19,1800-09-10,Politiker,Deutschland
2564,117453889,"Trojan, Johannes",Männlich,1837-08-14,1915-11-21,Schriftsteller + Satiriker + Redakteur + Chefredakteur + Journalist,Deutschland
2565,11745446X,"Scultetus, Bartholomäus",Männlich,1540,1614,Astronom + Historiker + Kartograf + Mathematiker + Ratsherr + Bürgermeister + Patriziat,Deutschland
2566,117456837,"Wohl, Louis de",Männlich,1903-01-24,1961-06-16,Schriftsteller + Astrologe + Drehbuchautor + Schriftsteller,Deutschland + USA + Großbritannien + Schweiz
2567,117457132,"Schmettau, Woldemar Friedrich, Graf von",Männlich,1749,1794,Diplomat + Schriftsteller + Graf,Deutschland
2568,117457329,"Wohlgemuth, Hildegard",Weiblich,1917-03-11,1994-04-23,Schriftstellerin + Lyrikerin + Lehrerin,Deutschland
2569,117457558,"Schmid Noerr, Friedrich Alfred",Männlich,1877-07-30,1969-06-12,Schriftsteller + Philosoph + Schriftsteller,Deutschland
2570,117458600,"Wolf, Ernst Wilhelm",Männlich,1735-02-25,1792-12-07,Komponist + Selbstverleger + Kapellmeister + Organist + Dirigent + Komponist + Schriftsteller + Konzertmeister,Deutschland
2571,117459003,"Sebisch, Melchior",Männlich,1539,1625-06-19,Arzt + Botaniker + Hochschullehrer + Übersetzer,Deutschland
2572,117459062,"Sebrecht, Friedrich",Männlich,1888-09-02,1956-09-07,Regisseur + Schriftsteller + Regisseur + Schauspieler + Schriftsteller,Deutschland
2573,117462535,"Seckendorf, Gustav von",Männlich,1775-11-20,1823-12-10,Schriftsteller + Schauspieler + Philosoph + Schauspieler + Schriftsteller,Deutschland + USA
2574,117464392,"Seidl, Johann Gabriel",Männlich,1804-06-21,1875-07-18,Schriftsteller + Gymnasiallehrer + Historiker + Archäologe + Librettist + Schriftsteller,Österreich + Deutschland
2575,117464546,"Seidl, Walter",Männlich,1905,1937,Schriftsteller,Deutschland
2576,117465526,"Sibutus, Georg Daripinus",Männlich,1480,1528,Schriftsteller + Humanist,Deutschland
2577,117468401,"Vogt, Walter",Männlich,1927-07-31,1988-09-21,Schriftsteller + Dramatiker + Psychiater + Arzt + Dramatiker,Deutschland + Schweiz
2578,117469769,"Semmer, Gerd",Männlich,1919-12-21,1967-11-12,Schriftsteller + Übersetzer + Schriftsteller,Deutschland
2579,117470171,"Sendelbach, Hermann",Männlich,1894-04-08,1971-06-12,Schriftsteller + Lehrer,Deutschland
2580,11747505X,"Sexau, Richard",Männlich,1882-01-11,1962-08-23,Schriftsteller + Privatgelehrter + Erzähler + Dramatiker + Essayist,Deutschland
2581,117475165,"Seybold, David Christoph",Männlich,1747-05-26,1804-02-19,Evangelischer Theologe + Hochschullehrer + Schriftsteller + Philologe,Deutschland
2582,117475629,"Soltau, Dietrich Wilhelm",Männlich,1745-03-15,1827-02-13,Übersetzer + Schriftsteller + Senator + Kaufmann + Übersetzer,Deutschland
2583,117478091,"Sennert, Daniel",Männlich,1572-11-25,1637-07-21,Arzt + Philosoph + Hochschullehrer + Leibarzt,Deutschland
2584,117479373,"Springer, Anton",Männlich,1825-07-13,1891-05-31,Kunsthistoriker + Politiker + Schriftsteller + Historiker,Deutschland
2585,117480967,"Spanheim, Friedrich",Männlich,1632-05-01,1701-05-18,Evangelischer Theologe + Kirchenhistoriker + Hochschullehrer + Bibliothekar,Niederlande + Deutschland + Schweiz
2586,117481718,"Spazier, Karl",Männlich,1761-04-20,1805-01-19,Schriftsteller + Komponist + Selbstverleger + Lehrer + Komponist,Deutschland
2587,117482307,"Speckmann, Diedrich",Männlich,1872-02-12,1938-05-28,Pfarrer + Schriftsteller,Deutschland
2588,117482684,"Speidel, Ludwig",Männlich,1830-04-04,1906-02-03,Theaterkritiker + Musikkritiker + Literaturkritiker + Schriftsteller + Theaterkritiker,Österreich + Deutschland
2589,117484970,"Spoerl, Heinrich",Männlich,1887-02-08,1955-08-25,Schriftsteller + Rechtsanwalt + Schriftsteller,Deutschland
2590,117490067,"Spiero, Heinrich",Männlich,1876-03-24,1947-03-08,Schriftsteller + Literarhistoriker + Historiker + Jurist + Kritiker + Hochschullehrer,Deutschland
2591,117495093,"Voß, Abraham",Männlich,1785-02-12,1847-11-13,Gymnasiallehrer + Literaturwissenschaftler,Deutschland
2592,117497754,"Fabricius, Vincent",Männlich,1612-08-28,1667-04-11,Jurist + Arzt + Bürgermeister + Diplomat + Schriftsteller,Deutschland
2593,117499498,"Schmid, Konrad Arnold",Männlich,1716-02-23,1789-11-16,Theologe + Philologe + Schriftsteller + Lehrer,Deutschland
2594,117499854,"Ellinger, Andreas",Männlich,1526,1582-03-12,Arzt + Schriftsteller,Deutschland
2595,117501646,"Hartung, Hugo",Männlich,,,Unternehmer,Deutschland
2596,117504750,"Schmidt, Friedrich Wilhelm August",Männlich,1764-03-23,1838-04-26,Geistlicher + Lyriker,Deutschland
2597,117504769,"Schmidt, Friedrich Wilhelm Valentin",Männlich,1787-09-16,1831-10-12,Bibliothekar + Literarhistoriker + Philologe + Hochschullehrer + Gymnasiallehrer,Deutschland
2598,117506095,"Schmidt, Georg Philipp",Männlich,1766-01-01,1849-10-28,Schriftsteller,Deutschland
2599,117507008,"Schmidt, Jochen",Männlich,1938-12-14,2020-05-18,Literaturwissenschaftler + Germanist + Philologe + Hochschullehrer,Deutschland
2600,11750727X,"Keil, Ernst",Männlich,1816-12-06,1878-03-23,Verleger + Redakteur,Deutschland
2601,117507857,"Sonnenberg, Franz Anton Joseph Ignaz Maria von",Männlich,1779-09-05,1805-11-22,Schriftsteller + Lyriker + Jurist,Deutschland
2602,117519006,"Major, Johann Daniel",Unbekannt,1634-08-16,1693-08-23,Naturwissenschaftler + Polyhistor + Arzt + Hochschullehrer,Deutschland
2603,117519901,"Herklots, Karl Alexander",Männlich,1759-01-19,1830-03-23,Schriftsteller + Dramatiker + Librettist + Jurist + Übersetzer,Deutschland
2604,117522864,"Reusner, Elias",Männlich,1555-09-08,1619-10-01,Historiker + Genealoge + Arzt + Hochschullehrer,Deutschland
2605,1175257354,"Albinus, Christian",Männlich,,,,Deutschland
2606,11753689X,"Freig, Johannes Thomas",Männlich,1543,1583-06-16,Philologe + Jurist + Historiker + Philosoph,Deutschland + Schweiz
2607,117543640,"Gesner, Salomon",Männlich,1559-11-08,1605-02-07,Evangelischer Theologe + Hochschullehrer + Gymnasiallehrer + Rektor + Pfarrer + Propst,Deutschland
2608,117546011,"Mayer, Johann Friedrich",Männlich,1650-12-06,1712-03-30,Evangelischer Theologe + Pfarrer + Superintendent + Gymnasiallehrer + Hochschullehrer + Selbstverleger,Deutschland
2609,117551376,"Mayer, Karl",Männlich,1819-09-09,1889-10-14,Politiker + Publizist + Jurist + Abgeordneter + Schriftsteller + Kaufmann,Deutschland
2610,117553875,"Küttner, Carl Gottlob",Männlich,1755-02-15,1805-02-14,Schriftsteller + Reiseschriftsteller + Hofmeister,Deutschland
2611,117557633,"Mauricius, Georg",Männlich,1539-12-13,1610-12-30,Schriftsteller + Lehrer + Schulleiter + Dramatiker + Dramatiker,Deutschland + Österreich
2612,117558591,"Meyer, Friedrich Johann Lorenz",Männlich,1760-01-22,1844-10-21,Jurist + Rechtsanwalt + Schriftsteller + Domkapitular,Deutschland
2613,117561592,"Wallis, Samuel",Männlich,1728-04-23,1795-01-21,Marineoffizier + Entdecker,Großbritannien
2614,117564273,"Grosse, Ernst",Männlich,1862-07-29,1927-01-26,Kunsthistoriker + Ethnologe + Kunstsammler,Deutschland
2615,11756883X,"Meyer, Nicolaus",Männlich,1775-12-29,1855-02-24,Arzt + Schriftsteller + Arzt + Schriftsteller,Deutschland
2616,11757287X,"Wesenbeck, Matthaeus",Unbekannt,1531,1586,Jurist,Deutschland + Niederlande
2617,117574317,"Westphal, Georg Christian Erhard",Männlich,1752,1808-12-03,Evangelischer Theologe + Pfarrer + Konsistorialrat + Gymnasiallehrer + Schriftsteller,Deutschland
2618,117575410,"Müller, Christoph Heinrich",Männlich,1740-02-10,1807-02-22,Pädagoge + Herausgeber + Theologe + Philologe + Schriftsteller,Schweiz + Deutschland
2619,117576999,"Müller, Ernst",Männlich,1627-01-01,1681-11-03,Pfarrer + Lutherischer Theologe + Militärgeistlicher,Deutschland
2620,117577979,"Miller, Johann Peter",Männlich,1725-04-26,1789-05-29,Evangelischer Theologe + Pädagoge + Gymnasiallehrer + Hochschullehrer + Schriftsteller,Deutschland
2621,117580104,"Müller, Friedrich von",Männlich,1779-04-13,1849-10-21,Politiker + Jurist + Kanzler,Deutschland
2622,117585637,"Nitschmann, Anna",Weiblich,1715-11-24,1760-05-21,Seelsorgerin + Predigerin + Liederdichterin,Deutschland
2623,117588717,"Müller, Heinrich",Männlich,1766,1833-08-02,Schriftsteller + Jugendbuchautor + Übersetzer + Prediger,Deutschland
2624,117593338,"Rohr, Julius Bernhard von",Männlich,1688-03-28,1742-04-18,Schriftsteller + Jurist,Deutschland
