,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
6175,11888381X,"Hederich, Benjamin",Männlich,1675-12-12,1748-07-18,Gymnasiallehrer + Rektor + Lexikograf,Deutschland
6176,118884441,"Riedesel, Johann Hermann",Unbekannt,1740,1785,Diplomat + Reiseschriftsteller,Deutschland
6177,118884972,"Alas, Leopoldo",Männlich,1852-04-25,1901-06-13,Schriftsteller + Jurist,Spanien
6178,118885006,"Süskind, Patrick",Männlich,1949-03-26,,Schriftsteller + Drehbuchautor + Schriftsteller,Deutschland
6179,118885235,"Kind, Johann Friedrich",Männlich,1768-03-04,1843-06-25,Schriftsteller + Librettist + Jurist + Theaterdirektor + Journalist + Schriftsteller + Librettist,Deutschland
6180,118885251,"Hey, Richard",Männlich,1926-05-15,2004-09-04,Journalist + Dramaturg + Schriftsteller + Drehbuchautor + Übersetzer + Schriftsteller + Dramaturg,Deutschland
6181,118885324,"Kolbe, Uwe",Männlich,1957-10-17,,Schriftsteller + Lyriker + Übersetzer,Deutschland
6182,118885332,"Pape, Joseph",Männlich,1831-04-04,1898-05-16,Jurist + Schriftsteller + Rechtsanwalt + Rechtsanwalt + Schriftsteller,Deutschland
6183,118885340,"Papenfuß, Bert",Männlich,1956-01-11,2023-08-26,Schriftsteller + Lyriker + Herausgeber + Drehbuchautor,Deutschland
6184,118885502,"Reinshagen, Gerlind",Weiblich,1926-05-04,2019-06-08,Schriftstellerin + Drehbuchautorin + Schriftstellerin + Dramatikerin,Deutschland
6185,118885693,"Hakel, Hermann",Männlich,1911-08-12,1987-12-24,Schriftsteller + Übersetzer + Schriftsteller,Österreich + Deutschland
6186,118886576,"Rollett, Hermann",Männlich,1819-08-20,1904-05-30,Schriftsteller + Schulrat + Archivar,Österreich + Schweiz + Deutschland
6187,118887203,"De Man, Paul",Unbekannt,1919,1983,Schriftsteller + Literaturwissenschaftler + Journalist,Belgien
6188,118888722,"Smets, Wilhelm",Männlich,1796-09-15,1848-10-14,Schriftsteller + Pfarrer + Religionslehrer + Katholischer Theologe + Journalist + Politiker + Schriftsteller,Deutschland
6189,118889966,"Bruckbräu, Friedrich Wilhelm",Männlich,1792,1874,Schriftsteller + Redakteur + Zollbeamter,Deutschland
6190,118890182,"Zink, Burkhard",Männlich,1396,1474,Chronist + Kaufmann,Deutschland
6191,118890263,"Fischer, Caroline Auguste",Weiblich,1764,1822,Schriftstellerin + Feministin,Deutschland
6192,11889028X,"Wolzogen, Ernst von",Männlich,1855-04-23,1934-08-30,Schriftsteller + Kabarettist + Komponist + Librettist + Lektor <Verlag> + Komponist + Schriftsteller,Deutschland
6193,118890298,"Leib, Kilian",Männlich,1471,1553,Prior + Abt,Deutschland
6194,118890506,"Gerhard, von Minden",Männlich,,,Schriftsteller,Deutschland
6195,118890832,"Fercher von Steinwand, Johann",Männlich,1828-03-22,1902-03-07,Schriftsteller + Schriftsteller,Österreich + Deutschland
6196,118890875,"Spitta, Karl Johann Philipp",Männlich,1801-08-01,1859-09-28,Schriftsteller + Evangelischer Theologe + Schriftsteller,Deutschland
6197,118890948,"Krug, Manfred",Männlich,1937-02-08,2016-10-21,Filmschauspieler + Schauspieler + Komponist + Sänger + Erzähler + Musiker + Schauspieler + Schriftsteller + Sänger,Deutschland + Deutschland (DDR)
6198,118891782,Meister des Lehrgesprächs,Unbekannt,,,Theologe,Land unbekannt
6199,118891871,"Skármeta, Antonio",Männlich,1940-11-07,2024-10-15,Schriftsteller + Literaturwissenschaftler + Diplomat + Drehbuchautor + Regisseur,Chile + Deutschland
6200,118891944,"Neumann, Günter",Männlich,1913-03-19,1972-10-17,Kabarettist + Komponist + Musiker + Liederdichter + Drehbuchautor + Regisseur + Komponist + Schriftsteller + Kabarettist,Deutschland
6201,118892371,"Canter, Jacobus",Unbekannt,1469,1529,Humanist,Niederlande
6202,118892649,"Tesar, Ludwig Erik",Männlich,1879,1968,Pädagoge + Kulturphilosoph + Lehrer + Gewerkschaftsmitglied,Österreich
6203,118892657,"Nunnenpeck, Lienhard",Unbekannt,,,,Deutschland
6204,11889286X,"Wuttke, Dieter",Männlich,1929,,Philologe + Kulturwissenschaftler + Kunsthistoriker + Hochschullehrer,Deutschland
6205,118893017,"Bosshart, Jakob",Männlich,1862-08-07,1924-02-18,Pädagoge + Schulleiter + Schriftsteller,Schweiz
6206,118893076,"Nowotny, Joachim",Männlich,1933-06-16,2014-01-14,Schriftsteller + Drehbuchautor,Deutschland
6207,118893297,"Michel, Robert",Männlich,1876-02-24,1957-02-11,Schriftsteller + Erzähler + Dramatiker + Publizist + Offizier + Schriftsteller,Tschechische Republik + Deutschland + Österreich
6208,118893416,"Croissant-Rust, Anna",Weiblich,1860-12-10,1943-07-30,Schriftstellerin + Erzählerin,Deutschland
6209,118894358,"Münchhausen, Karl Ludwig August von",Männlich,1759,1836,Schriftsteller + Freiherr,Deutschland
6210,118895117,"Coetzee, J. M.",Männlich,1940-02-09,,Schriftsteller + Literaturwissenschaftler + Hochschullehrer,Australien + USA + Südafrika
