GND,SchulLeselisten_Autor,SchulLeselisten_Baden-Württemberg,SchulLeselisten_Sachsen-Anhalt,SchulLeselisten_Hessen,SchulLeselisten_Hamburg,SchulLeselisten_Niedersachsen,SchulLeselisten_Rheinland-Pfalz,SchulLeselisten_Bayern,SchulLeselisten_Sachsen,SchulLeselisten_Saarland,SchulLeselisten_Mecklenburg-Vorpommern,SchulLeselisten_Bremen,SchulLeselisten_Brandenburg,SchulLeselisten_Nordrhein-Westfalen,SchulLeselisten_Summe
https://d-nb.info/gnd/120596679,Rothmann,0.0027100271002710027,0.0,0.003436426116838488,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009730682607790494
https://d-nb.info/gnd/122340469,Rowling,0.0,0.007957559681697613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007957559681697613
https://d-nb.info/gnd/124765602,Ruebenstrunk,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
https://d-nb.info/gnd/142549940,Ruge,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
https://d-nb.info/gnd/124846491,Rusch,0.0,0.002652519893899204,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004444634589239706
https://d-nb.info/gnd/118873520,Rushdie,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
https://d-nb.info/gnd/12012159X,Röhrig,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
https://d-nb.info/gnd/118603957,Rühmkorf,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
https://d-nb.info/gnd/123090156,Sachar,0.0,0.002652519893899204,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004444634589239706
https://d-nb.info/gnd/118604627,Sachs,0.0027100271002710027,0.0,0.003436426116838488,0.0,0.0017921146953405018,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.011906821880703961
https://d-nb.info/gnd/120512866,Sacks,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488
https://d-nb.info/gnd/118605054,Salinger,0.0027100271002710027,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005362546994170207
https://d-nb.info/gnd/119147548,Saro-Wiwa,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
https://d-nb.info/gnd/11860564X,Sartre,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.006678281068524971
https://d-nb.info/gnd/115612211,Schami,0.0,0.0,0.0,0.0,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005376344086021506
https://d-nb.info/gnd/121411826,Scheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125
https://d-nb.info/gnd/130878499,Schenkel,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
https://d-nb.info/gnd/11860757X,Schikaneder,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
https://d-nb.info/gnd/118607626,Schiller,0.02168021680216802,0.01856763925729443,0.020618556701030927,0.0,0.021505376344086023,0.033112582781456956,0.01984126984126984,0.023255813953488372,0.05194805194805195,0.0,0.03333333333333333,0.11538461538461539,0.0,0.3592474563467952
https://d-nb.info/gnd/118607871,Schlaf,0.0,0.002652519893899204,0.003436426116838488,0.0,0.0017921146953405018,0.0033112582781456954,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.015160572952477856
