GND,author,title,year,state,ID_orig
118728814,Loerke,unbekannt,,Rheinland-Pfalz,2856
11857390X,Loest,unbekannt,,Rheinland-Pfalz,2857
118583107,Mörike,unbekannt,,Rheinland-Pfalz,2866
116689749,Mainzer,Prometheus,1939,Rheinland-Pfalz,2858
118577166,Mann,Bekenntnisse des Hochstaplers Felix Krull,1954,Rheinland-Pfalz,2864
118577166,Mann,Buddenbrooks,1901,Rheinland-Pfalz,2859
118577166,Mann,Der Tod in Venedig,1912,Rheinland-Pfalz,2861
118577131,Mann,Der Untertan,1914,Rheinland-Pfalz,2862
118577166,Mann,Doktor Faustus,1947,Rheinland-Pfalz,2863
118577131,Mann,Professor Unrat,1905,Rheinland-Pfalz,2860
115745459,Marías,Mein Herz so weiß,1996,Rheinland-Pfalz,2865
118584162,Moritz,Anton Reiser,1785,Rheinland-Pfalz,2867
118585916,Musil,Die Verwirrungen des Zöglings Törleß,1906,Rheinland-Pfalz,2868
122396049,Nothomb,Die Reinheit des Mörders,1992,Rheinland-Pfalz,2869
118588893,Novalis,Heinrich von Ofterdingen,1802,Rheinland-Pfalz,2871
118588893,Novalis,Hymnen an die Nacht,1800,Rheinland-Pfalz,2870
118747827,Ossowski,Wilhelm Meisters Abschied,1982,Rheinland-Pfalz,2872
118557211,Paul,Flegeljahre,1804,Rheinland-Pfalz,2873
118595024,Plenzdorf,Die neuen Leiden des jungen W.,1972,Rheinland-Pfalz,2874
118595024,Plenzdorf,Kein runter kein fern,1984,Rheinland-Pfalz,2875
118597442,Raabe,Die Chronik der Sperlingsgasse,1856,Rheinland-Pfalz,2876
118956299,Ransmayr,Die letzte Welt,1988,Rheinland-Pfalz,2877
118599437,Reinig,Robinson,,Rheinland-Pfalz,2878
118599631,Remarque,Im Westen nichts Neues,1928,Rheinland-Pfalz,2879
118601024,Rilke,Die Aufzeichnungen des Malte Laurids Brigge,1910,Rheinland-Pfalz,2880
118601024,Rilke,unbekannt,,Rheinland-Pfalz,2881
