,GND,searchphrase,BDSL_hits_2000_all
296,10124472X,Hawart,0.0
297,101244789,von Konstanz Heinzelin,0.0
298,101244827,Kelin,0.0
299,101244908,von Seven Leuthold,1.0
300,101244959,Der Püller,0.0
301,101244983,von Brennenburg Reinmar,5.0
302,101245009,Burggraf von Riedenburg,2.0
303,101245041,Burggraf von Regensburg,3.0
304,101245114,der tugendhafte Schreiber Heinrich,0.0
305,101246056,Johann Georg Pellicer,2.0
306,10125198X,Tobias Henrich Schubart,0.0
307,101252072,Hinrich Janssen,1.0
308,10125279X,Matthias Leopold Schleifer,0.0
309,101256493,Wilhelm Osterwald,0.0
310,101258461,Michael Christoph Brandenburg,0.0
311,10126304X,Graf  Württemberg Alexander,2.0
312,101263503,Herzogin  Braunschweig-Lüneburg Sophia Eleonora,0.0
313,101271948,Markgraf von Hohenburg,0.0
314,101272170,von Warte Jakob,0.0
315,101272227,Der Hardegger,2.0
316,10127226X,von Sax Heinrich,0.0
317,101272367,von Toggenburg Kraft,0.0
318,101272375,von Sachsen Rumelant,12.0
319,101272391,Höllefeuer,1.0
320,101272413,von Esslingen Schulmeister,4.0
321,1012772160,Andreas Gravinus,0.0
322,1012809900,Hasko Weber,1.0
323,1012943356,Cristina Pacheco,0.0
324,1012954684,Hermann Moers,0.0
325,1013160223,Franz Held,27.0
326,1013609662,Daniela Seel,6.0
327,101363184,Salomon Hermann von Mosenthal,9.0
328,1013755855,Wolfgang Kuhn,11.0
329,1013915976,Hauke Hückstädt,10.0
330,1013974565,Michael Springer,1.0
331,101416016,Herzog  Schleswig-Holstein-Sonderburg-Augustenburg Friedrich Christian II.,1.0
332,1014349664,Johann Vogel,13.0
333,101471920,Prinz  Preußen Georg,0.0
334,101482663,Samuel Gottlieb Laube,0.0
335,1015324681,Marie Wokalek,14.0
336,1015336876,Hermann Schneider,6.0
337,1015361978,Werner Jansen,6.0
338,1015540678,Daniela Krien,8.0
339,1015710166,Teju Cole,4.0
340,1015713920,Johann Jakob Brückner,0.0
341,1016386486,Antonia Baum,6.0
342,101675372,Kurt Mautz,3.0
343,1016970005,Johann Christian Heinrich Schäffer,0.0
344,1016979274,Kurt Rothmann,3.0
345,101708122,Georg Hirschfeld,3.0
346,101737404X,Georg Hoprich,2.0
347,1017550182,Caren Kollek,1.0
348,101761023,Zacharias Orth,0.0
349,1017906424,Christoph Mangold,1.0
350,1017993297,Georg W. Pijet,2.0
351,1018231447,Ernst Wichert,10.0
352,1018480358,Hans-Joachim Röhler,0.0
353,1018618406,Philipp Anton Segesser von Brunegg,0.0
354,1018697667,Beatrice Ferolli,0.0
355,1019267828,Max von Löwenthal,0.0
356,1019345594,Rolf Geissbühler,0.0
357,1019509430,Olga Grjasnowa,81.0
358,1019606258,Hartmut Riederer,0.0
359,1019670193,Thomas Schmidt,106.0
360,1019908408,Ernst Hofacker,0.0
361,1020029498,Manfred Wittich,0.0
362,1020106344,Ron Athey,0.0
363,1020241012,Hasso Grabner,2.0
364,102032600X,Gottlieb Spitzel,2.0
365,1020382430,Paul Herbert Freyer,0.0
366,1020385138,Wolfgang Beltracchi,0.0
367,1020480416,Christian Gottlob Hempel,0.0
368,102064818X,Hansjürgen Pohland,2.0
369,102069344,Anton Tunicius,2.0
370,1020897465,Yves Grevet,0.0
371,1021175439,Heinrich Alexander Stoll,0.0
372,102121982,Johann Jacob Steinbrüchel,0.0
373,102157774,Rudolf von Langen,0.0
374,102182094,David Assur Assing,3.0
375,10218299X,Rudolf Lavant,2.0
376,102183104,Erich Loewenthal,0.0
377,1021834920,Michael Albert,10.0
378,1021931748,Hedi Wyss,5.0
379,1022083848,Dagmara Kraus,7.0
380,1022270079,Jochen Schmidt,75.0
381,1022353799,Lenka von Koerber,0.0
382,1022446959,Katja Petrowskaja,83.0
383,1022654411,Claudia Wolff,0.0
384,1022752588,Zvonko Plepelić,0.0
385,1022754777,Heinrich Smidt,1.0
386,1022833073,Mark Blackwell,0.0
387,1023005093,Anna Bers,25.0
388,1023186195,Christian Baron,7.0
389,102369364,Adelheid Langmann,3.0
390,1023725061,Matthias Pasdzierny,0.0
391,1023738066,Heinrich Wagner,55.0
392,102377081,Johann Caspar Wetzel,1.0
393,1023776294,Ingo Gerlach,0.0
394,1023860139,Franz Schram,0.0
395,1023873885,Ferdinand Adolf Gelbcke,0.0
396,102399301,Gadarensis Menippus,3.0
397,1024104567,Matthias Altmann,0.0
398,1024112160,Wolfgang Kudrnofsky,0.0
399,1024114597,Michel Buck,0.0
400,1024169561,Gesa Dane,49.0
401,1024169928,Kai Sina,74.0
402,102421641,von Kemenaten Albrecht,0.0
403,102421684,von Horheim Bernger,2.0
404,102423008,von Buch Johannes,8.0
405,102430640,Balthasar Crusius,0.0
406,10243218X,von Lübeck Detmar,1.0
407,102441545,Engelberger Prediger,0.0
408,1024443000,Sarah Huber,1.0
409,1024575667,Barbara Becker-Cantarino,140.0
410,102462542,Johann Ulrich Erhard,3.0
411,102472416,Zingel de Schlierstadt Georgius,0.0
412,102485747,Karl Friedrich Harttmann,0.0
413,102488134,Johann Joseph Beckh,4.0
414,102500355,Erhart Gross,10.0
415,102501726,Jodocus Gallus,1.0
416,102520879,Johann Philipp Abelinus,0.0
417,1025209281,Rosi Braidotti,3.0
418,102529655,Bischof  Eichstätt  von Eich Johann III.,0.0
419,102547564X,Norbert Christian Wolf,113.0
