GND,author,title,year,state,ID_orig
11853856X,George,unbekannt,,Bayern,1191
11884556X,Gernhardt,unbekannt,,Bayern,1261
118540424,Gogol,Der Mantel,1842,Bayern,2658
118696165,Golding,Herr der Fliegen,1954,Bayern,2652
118540963,Gotthelf,Die schwarze Spinne,1842,Bayern,2659
119371391,Grünbein,unbekannt,,Bayern,1262
118541358,Graf,Anton Sittinger,1937,Bayern,2631
118541358,Graf,unbekannt,,Bayern,1170
118541579,Grass,unbekannt,,Bayern,1226
118823760,Grill,Hochzeit im Dunkeln,1995,Bayern,2607
118542192,Grillparzer,unbekannt,,Bayern,2558
118542257 + 118542265,Grimm / Grimm,unbekannt,,Bayern,2552
118542257 + 118542265,Grimm / Grimm,unbekannt,,Bayern,2553
118551981,Hölderlin,unbekannt,,Bayern,2555
118994212,Hahn,unbekannt,,Bayern,1263
118546619,Hasenclever,unbekannt,,Bayern,1165
118546937,Hauptmann,Der Biberpelz,1893,Bayern,2653
118546937,Hauptmann,unbekannt,,Bayern,2559
118547445,Hebbel,unbekannt,,Bayern,2557
118840991,Hein,Von allem Anfang an,1997,Bayern,2608
118548018,Heine,unbekannt,,Bayern,2577
118549030,Hemingway,unbekannt,,Bayern,1184
118550128,Herwegh,unbekannt,,Bayern,2578
11855042X,Hesse,unbekannt,,Bayern,1171
11855042X,Hesse,Unterm Rad,1906,Bayern,2676
118550683,Heym,unbekannt,,Bayern,1192
118551736,Hochhuth,unbekannt,,Bayern,1207
118552465,Hoffmann,Das Fräulein von Scuderi,1819,Bayern,2654
118552465,Hoffmann,Das steinerne Herz,1817,Bayern,2609
118552465,Hoffmann,unbekannt,,Bayern,2549
118828681,Hofmann,Die Rückkehr des verlorenen Jakob Michael Reinhold Lenz nach Riga,1984,Bayern,2591
118553216,Holz,unbekannt,,Bayern,2566
118554212,Huchel,unbekannt,,Bayern,1264
118555081,Huxley,Schöne neue Welt,1932,Bayern,2625
118555286,Ibsen,unbekannt,,Bayern,2573
118555707,Ionesco,unbekannt,,Bayern,1217
118556894,Jandl,unbekannt,,Bayern,1265
11855817X,Johnson,unbekannt,,Bayern,1227
118558501,Joyce,unbekannt,,Bayern,1185
118559206,Kästner,unbekannt,,Bayern,1173
118559230,Kafka,unbekannt,,Bayern,1174
118776592,Kaléko,unbekannt,,Bayern,1194
118560395,Kaschnitz,Lange Schatten,1960,Bayern,2660
118560395,Kaschnitz,unbekannt,,Bayern,1266
115812431,Kehlmann,unbekannt,,Bayern,1228
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Bayern,2677
11856109X,Keller,unbekannt,,Bayern,2562
119522659,Kerner,Blueprint – Blaupause,1999,Bayern,2626
119522659,Kerner,Geboren 1999,1989,Bayern,2671
118722123,Keun,unbekannt,,Bayern,1175
118562312,Kipphardt,unbekannt,,Bayern,1208
118562487,Kirsch,unbekannt,,Bayern,1267
11856370X,Knigge,Über den Umgang mit Menschen,1788,Bayern,2581
118566962,Kroetz,unbekannt,,Bayern,1209
118568043,Kundera,unbekannt,,Bayern,1250
118568051,Kunert,unbekannt,,Bayern,1268
118568124,Kunze,Die wunderbaren Jahre,1976,Bayern,2594
118568124,Kunze,unbekannt,,Bayern,1269
118569880,Lasker-Schüler,unbekannt,,Bayern,1195
118571680,Lenz,Der Hofmeister,1774,Bayern,2582
118571680,Lenz,Deutschstunde,1968,Bayern,2595
118571680,Lenz,Die Soldaten,1776,Bayern,2583
118571680,Lenz,unbekannt,,Bayern,1229
118572121,Lessing,Emilia Galotti,1772,Bayern,2584
118572121,Lessing,Minna von Barnhelm,1767,Bayern,2585
118572121,Lessing,Nathan der Weise,1779,Bayern,2586
